País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Aruba,Colombia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,43.6726608367295
Aruba,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20.3013315573266
Aruba,Curacao,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8.52031105304797
Aruba,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.85243400979297
Aruba,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.45806250697372
Aruba,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,594.199130727936
Aruba,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,181.911924809344
Aruba,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,132.21969981168
Aruba,Panamá,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,50.400818842421
Aruba,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,39.2327307317347
Aruba,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.61677932091235
Aruba,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1.63996254670893
Aruba,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1.14074914592661
Aruba,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),7.96725016699138
Aruba,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),5.11257422958868
Aruba,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2.94842900870648
Aruba,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),56.5857098166666
Aruba,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.16817932723761
Aruba,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),74.4695671064039
Aruba,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.18976312581596
Aruba,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.68401283951743
Aruba,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3.46134743722852
Aruba,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.00387988821345
Aruba,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),6.75169990480103
Aruba,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),5.43180830329977
Aruba,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.19943631003711
Aruba,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.69074635897556
Aruba,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1.30441059613295
Aruba,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.02523575383412
Aruba,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),3.62259994892134
Aruba,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),165.772402690542
Aruba,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),107.851382278178
Aruba,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),750.146415679918
Aruba,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),129.695752919893
Aruba,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),88.3470076928547
Aruba,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1169.77393434417
Aruba,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),162509.203295212
Aruba,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
Aruba,...,2021,...,Importación,Número de asociados importadores,13
Aruba,...,2021,...,Importación,Número de productos importados,3414
Aruba,...,2021,...,Exportación,Número de asociados exportadores,10
Aruba,...,2021,...,Exportación,Número de productos exportados,895
Aruba,...,2018,...,Others,Population,105845
Aruba,Colombia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,49.4331
Aruba,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,22.9791
Aruba,Curacao,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.6441
Aruba,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.4925
Aruba,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0461
Aruba,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,50.7961
Aruba,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.551
Aruba,No especificados ,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.303
