País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Afganistán,India,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,410.1355701
Afganistán,Pakistán,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,298.63506307
Afganistán,China,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,31.00190176
Afganistán,Turquía,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,25.15219691
Afganistán,Emiratos Árabes Unidos,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,24.94487092
Afganistán,"Irán, Rep. Islámica del",2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1247.1679493
Afganistán,China,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1192.42651714
Afganistán,Pakistán,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1102.98906408
Afganistán,Estados Unidos,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,783.75166438
Afganistán,Turkmenistán,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,690.21411583
Afganistán,Mundo,2019,Combustibles,Exportación,Exportaciones (en millones de US $),69.57317451
Afganistán,Mundo,2019,Metales,Exportación,Exportaciones (en millones de US $),7.27697271
Afganistán,Mundo,2019,Minerales,Exportación,Exportaciones (en millones de US $),19.00321416
Afganistán,Mundo,2019,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.0690772
Afganistán,Mundo,2019,Bienes de capital,Exportación,Exportaciones (en millones de US $),1.62528538
Afganistán,Mundo,2019,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5.00348652
Afganistán,Mundo,2019,Calzado,Exportación,Exportaciones (en millones de US $),0.37849622
Afganistán,Mundo,2019,Bienes de consumo,Exportación,Exportaciones (en millones de US $),98.7417883
Afganistán,Mundo,2019,Reino vegetal,Exportación,Exportaciones (en millones de US $),691.91888862
Afganistán,Mundo,2019,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),59.60201029
Afganistán,Mundo,2019,Bienes intermedios,Exportación,Exportaciones (en millones de US $),36.23900062
Afganistán,Mundo,2019,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.23431708
Afganistán,Mundo,2019,Transporte,Exportación,Exportaciones (en millones de US $),0.90739939
Afganistán,Mundo,2019,Cueros y pieles,Exportación,Exportaciones (en millones de US $),8.08372382
Afganistán,Mundo,2019,Varios,Exportación,Exportaciones (en millones de US $),0.9649345
Afganistán,Mundo,2019,Productos químicos,Exportación,Exportaciones (en millones de US $),2.10870089
Afganistán,Mundo,2019,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.54981069
Afganistán,Mundo,2019,Reino animal,Exportación,Exportaciones (en millones de US $),4.74375325
Afganistán,Mundo,2019,Madera,Exportación,Exportaciones (en millones de US $),0.07055261
Afganistán,Mundo,2019,Materias primas,Exportación,Exportaciones (en millones de US $),718.90437615
Afganistán,Mundo,2019,Bienes intermedios,Importación,Importaciones (en millones de US $),2500.60659461
Afganistán,Mundo,2019,Bienes de consumo,Importación,Importaciones (en millones de US $),2475.14049858
Afganistán,Mundo,2019,Bienes de capital,Importación,Importaciones (en millones de US $),828.37689528
Afganistán,Mundo,2019,Materias primas,Importación,Importaciones (en millones de US $),1118.17274745
Afganistán,Mundo,2019,Todos los productos,Exportación,Exportaciones (en millones de US $),870.48851246
Afganistán,Mundo,2019,Todos los productos,Importación,Importaciones (en millones de US $),8568.01387687
Afganistán,Mundo,2018,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),30136.17018
Afganistán,...,2018,...,Aranceles,N.o de acuerdos arancelarios,2
Afganistán,...,2019,...,Importación,Número de asociados importadores,109
Afganistán,...,2019,...,Importación,Número de productos importados,741
Afganistán,...,2019,...,Exportación,Número de asociados exportadores,65
Afganistán,...,2019,...,Exportación,Número de productos exportados,204
Afganistán,...,2019,...,Others,Trading Across Borders Rank,177
Afganistán,...,2018,...,Others,Population,37172386
Afganistán,...,2018,...,Others,CPIA Trade Ratings,3.5
Afganistán,...,2016,...,Others,LPI Score,2.141282
Afganistán,...,2016,...,Others,LPI Rank,150
Afganistán,...,2019,...,Others,Ease of Doing Business Rank,173
Afganistán,...,2012,...,Others,No Of NTM Affected Products (HS 6 Digit),1328
Afganistán,...,2012,...,Others,No Of NTM Measures,30
Afganistán,India,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,47.1156
Afganistán,Pakistán,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,34.3066
Afganistán,China,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.5614
Afganistán,Turquía,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.8894
Afganistán,Emiratos Árabes Unidos,2019,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.8656
Afganistán,"Irán, Rep. Islámica del",2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.5561
Afganistán,China,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.9172
Afganistán,Pakistán,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.8733
Afganistán,Estados Unidos,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.1474
Afganistán,Turkmenistán,2019,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.0557
Afganistán,Mundo,2019,Reino vegetal,Exportación,Exportaciones - Product share(en %),79.4863
Afganistán,Mundo,2019,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),6.847
Afganistán,Mundo,2019,Bienes intermedios,Exportación,Exportaciones - Product share(en %),4.1631
Afganistán,Mundo,2019,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.5748
Afganistán,Mundo,2019,Calzado,Exportación,Exportaciones - Product share(en %),0.0435
