País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Angola,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20058.426271913
Angola,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3008.390595072
Angola,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1399.449578198
Angola,Tailandia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1004.83352977
Angola,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,802.659408761
Angola,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1688.904641338
Angola,Portugal,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1357.979633711
Angola,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,745.723527218
Angola,Togo,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,687.689058077
Angola,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,546.044463646
Angola,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),5.542155646
Angola,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),98.369240395
Angola,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),4.982238508
Angola,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1182.33722209
Angola,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),11.043326979
Angola,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.060364335
Angola,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),232.362979449
Angola,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),23.041054628
Angola,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),57.404180197
Angola,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),29096.024333171
Angola,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.170571162
Angola,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),65.668385225
Angola,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),56.819189679
Angola,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1550.326328037
Angola,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1314.449941822
Angola,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),37.193157603
Angola,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3.118840838
Angola,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),3808.082470744
Angola,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),31318.918599479
Angola,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),55.167102028
Angola,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),816.039663618001
Angola,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),3392.728948979
Angola,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2078.540478137
Angola,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),5090.399845736
Angola,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),34472.161956832
Angola,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),11378.927920701
Angola,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),5430391.4779
Angola,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
Angola,...,2021,...,Importación,Número de asociados importadores,191
Angola,...,2021,...,Importación,Número de productos importados,4033
Angola,...,2021,...,Exportación,Número de asociados exportadores,137
Angola,...,2021,...,Exportación,Número de productos exportados,2218
Angola,...,2019,...,Others,Ease of Doing Business Rank,177
Angola,...,2019,...,Others,Trading Across Borders Rank,174
Angola,...,2013,...,Others,CPIA Trade Ratings,3.5
Angola,...,2016,...,Others,LPI Score,2.241183
Angola,...,2016,...,Others,LPI Rank,139
Angola,...,2018,...,Others,Population,30809762
Angola,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,58.1873
Angola,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.727
Angola,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.0597
Angola,Tailandia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.9149
Angola,Singapur,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.3284
