País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Anguila,Guyana,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.389743
Anguila,Antillas Neerlandesas,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.304281
Anguila,Estados Unidos,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.952128
Anguila,Reino Unido,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.212417
Anguila,Francia,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.139311
Anguila,Estados Unidos,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,161.476651
Anguila,Trinidad y Tobago,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,39.319002
Anguila,Antillas Neerlandesas,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20.520786
Anguila,Canadá,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5.715468
Anguila,Guyana,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5.406214
Anguila,Mundo,2008,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.001725
Anguila,Mundo,2008,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.085517
Anguila,Mundo,2008,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.439131
Anguila,Mundo,2008,Combustibles,Exportación,Exportaciones (en millones de US $),0.043337
Anguila,Mundo,2008,Metales,Exportación,Exportaciones (en millones de US $),0.84706
Anguila,Mundo,2008,Minerales,Exportación,Exportaciones (en millones de US $),
Anguila,Mundo,2008,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2.238042
Anguila,Mundo,2008,Bienes de capital,Exportación,Exportaciones (en millones de US $),1.30121
Anguila,Mundo,2008,Productos alimenticios,Exportación,Exportaciones (en millones de US $),4.725965
Anguila,Mundo,2008,Calzado,Exportación,Exportaciones (en millones de US $),0.005484
Anguila,Mundo,2008,Bienes de consumo,Exportación,Exportaciones (en millones de US $),7.223365
Anguila,Mundo,2008,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.069149
Anguila,Mundo,2008,Transporte,Exportación,Exportaciones (en millones de US $),1.260595
Anguila,Mundo,2008,Productos químicos,Exportación,Exportaciones (en millones de US $),0.033778
Anguila,Mundo,2008,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1.740511
Anguila,Mundo,2008,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
Anguila,Mundo,2008,Varios,Exportación,Exportaciones (en millones de US $),0.350199
Anguila,Mundo,2008,Reino animal,Exportación,Exportaciones (en millones de US $),0.052592
Anguila,Mundo,2008,Madera,Exportación,Exportaciones (en millones de US $),0.020587
Anguila,Mundo,2008,Materias primas,Exportación,Exportaciones (en millones de US $),0.058501
Anguila,Mundo,2008,Bienes intermedios,Importación,Importaciones (en millones de US $),30.579314
Anguila,Mundo,2008,Bienes de consumo,Importación,Importaciones (en millones de US $),128.807274
Anguila,Mundo,2008,Bienes de capital,Importación,Importaciones (en millones de US $),31.423977
Anguila,Mundo,2008,Materias primas,Importación,Importaciones (en millones de US $),7.502538
Anguila,Mundo,2008,Todos los productos,Exportación,Exportaciones (en millones de US $),11.47454
Anguila,Mundo,2008,Todos los productos,Importación,Importaciones (en millones de US $),271.7444
Anguila,...,2008,...,Importación,Número de asociados importadores,87
Anguila,...,2008,...,Importación,Número de productos importados,1623
Anguila,...,2008,...,Exportación,Número de asociados exportadores,26
Anguila,...,2008,...,Exportación,Número de productos exportados,277
Anguila,Guyana,2008,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,38.2564
Anguila,Antillas Neerlandesas,2008,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,37.5116
Anguila,Estados Unidos,2008,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.0127
Anguila,Reino Unido,2008,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.8512
Anguila,Francia,2008,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.2141
Anguila,Estados Unidos,2008,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,59.4223
Anguila,Trinidad y Tobago,2008,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.4691
Anguila,Antillas Neerlandesas,2008,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.5515
Anguila,Canadá,2008,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.1033
Anguila,Guyana,2008,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,1.9894
Anguila,Mundo,2008,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.015
Anguila,Mundo,2008,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.7453
Anguila,Mundo,2008,Bienes intermedios,Exportación,Exportaciones - Product share(en %),3.827
Anguila,Mundo,2008,Productos alimenticios,Exportación,Exportaciones - Product share(en %),41.1865
Anguila,Mundo,2008,Calzado,Exportación,Exportaciones - Product share(en %),0.0478
Anguila,Mundo,2008,Bienes de consumo,Exportación,Exportaciones - Product share(en %),62.9512
Anguila,Mundo,2008,Reino animal,Exportación,Exportaciones - Product share(en %),0.4583
