País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Albania,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1504.604784579
Albania,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,408.015655366
Albania,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,227.765479729
Albania,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,205.688527616
Albania,Grecia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,145.842438277
Albania,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1878.565626848
Albania,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,831.763117758
Albania,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,629.848580368
Albania,Grecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,618.467453767
Albania,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,527.0674274
Albania,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),486.959806562
Albania,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),743.677974956
Albania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),154.831192841
Albania,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),494.230169291
Albania,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),818.353004881
Albania,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),21.029097202
Albania,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),380.304192438
Albania,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),36.790416569
Albania,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),41.444069617
Albania,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),163.332293189
Albania,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),592.081564373
Albania,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),441.381140302
Albania,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),182.734058464
Albania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),30.386984849
Albania,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),35.196531612
Albania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),47.1816828
Albania,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),36.214527174
Albania,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),52.155849928
Albania,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),98.943355622
Albania,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),204.832477309
Albania,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1198.998341245
Albania,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),2291.572959461
Albania,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),224.939159814
Albania,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),576.285351322
Albania,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),3562.297235872
Albania,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),7734.905145339
Albania,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),3226408.10299395
Albania,...,2021,...,Aranceles,N.o de acuerdos arancelarios,5
Albania,...,2021,...,Importación,Número de asociados importadores,187
Albania,...,2021,...,Importación,Número de productos importados,2272
Albania,...,2021,...,Exportación,Número de asociados exportadores,136
Albania,...,2021,...,Exportación,Número de productos exportados,468
Albania,...,2018,...,Others,Population,2866376
Albania,...,2006,...,Others,CPIA Trade Ratings,5
Albania,...,2016,...,Others,LPI Score,2.412498
Albania,...,2016,...,Others,LPI Rank,117
Albania,...,2019,...,Others,Ease of Doing Business Rank,82
Albania,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0691712
Albania,...,,...,Others,Services Trade Restrictions Index - Over All,19.4
Albania,...,2019,...,Others,Trading Across Borders Rank,25
Albania,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0691712
Albania,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,42.2369
Albania,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.4537
Albania,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.3938
Albania,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.774
Albania,Grecia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.0941
Albania,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,24.2869
Albania,Turquía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.7534
Albania,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.1429
Albania,Grecia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.9958
Albania,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.8141
Albania,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),4.585
Albania,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),16.6208
Albania,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),12.3904
Albania,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),5.1297
Albania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.853
Albania,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.988
Albania,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.5903
Albania,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),10.6758
Albania,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),13.6698
Albania,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),20.8764
Albania,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),1.0328
Albania,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),1.1634
Albania,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.4641
Albania,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),2.7775
Albania,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),5.75
Albania,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.3245
Albania,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),1.0166
Albania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),4.3464
Albania,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),13.8739
Albania,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),22.9726
Albania,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),15.5011
Albania,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),29.6264
Albania,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),7.4505
Albania,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),2.9081
Albania,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),0.252379618108574
Albania,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.575883689568051
Albania,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),1.397655408936
Albania,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),3.26413639094333
Albania,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Albania,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),21.7099730236027
Albania,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),1.61124897323119
Albania,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),1.12939110759596
