País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Andorra,España,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,93.7099278079648
Andorra,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,24.6029197403116
Andorra,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9.3437249320922
Andorra,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.54006792673856
Andorra,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.04367450185889
Andorra,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1023.43104167546
Andorra,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,167.53664424136
Andorra,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,84.8519086226797
Andorra,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,60.10047019129
Andorra,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,42.4754863245224
Andorra,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.790626536497261
Andorra,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),38.975320682738
Andorra,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),6.37621853634379
Andorra,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),40.744934914915
Andorra,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.054212774341388
Andorra,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),6.51855988828752
Andorra,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.352883368704201
Andorra,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),9.49331810190506
Andorra,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),48.8155992347139
Andorra,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.678749973975462
Andorra,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),6.89930749938336
Andorra,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),95.9789662192984
Andorra,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.214565368565153
Andorra,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),14.5043471994519
Andorra,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),7.25812212682196
Andorra,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),2.65427283212153
Andorra,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),25.2012732690912
Andorra,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.134095191699985
Andorra,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),10.3816313717815
Andorra,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),11.1079606460274
Andorra,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1099.13524506973
Andorra,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),163.967046899771
Andorra,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),77.9603477885019
Andorra,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),221.135488660938
Andorra,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),163.974317509802
Andorra,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1563.4923974098
Andorra,...,2021,...,Importación,Número de asociados importadores,140
Andorra,...,2021,...,Importación,Número de productos importados,3166
Andorra,...,2021,...,Exportación,Número de asociados exportadores,118
Andorra,...,2021,...,Exportación,Número de productos exportados,1156
Andorra,...,2018,...,Others,Population,77006
Andorra,España,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,57.1491
