País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Antillas Neerlandesas,Países Bajos,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,49.955479
Antillas Neerlandesas,Estados Unidos,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,33.59376
Antillas Neerlandesas,No especificados ,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18.796709
Antillas Neerlandesas,Aruba,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14.908186
Antillas Neerlandesas,Alemania,2008,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.952572
Antillas Neerlandesas,Estados Unidos,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,566.106339
Antillas Neerlandesas,Países Bajos,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,332.292253
Antillas Neerlandesas,No especificados ,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,55.630719
Antillas Neerlandesas,Panamá,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51.84893
Antillas Neerlandesas,Venezuela,2008,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51.628087
Antillas Neerlandesas,Mundo,2008,Productos químicos,Exportación,Exportaciones (en millones de US $),11.312576
Antillas Neerlandesas,Mundo,2008,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),21.359882
Antillas Neerlandesas,Mundo,2008,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.884108
Antillas Neerlandesas,Mundo,2008,Transporte,Exportación,Exportaciones (en millones de US $),27.567005
Antillas Neerlandesas,Mundo,2008,Productos alimenticios,Exportación,Exportaciones (en millones de US $),37.496012
Antillas Neerlandesas,Mundo,2008,Calzado,Exportación,Exportaciones (en millones de US $),0.099378
Antillas Neerlandesas,Mundo,2008,Bienes de consumo,Exportación,Exportaciones (en millones de US $),73.1452770000001
Antillas Neerlandesas,Mundo,2008,Minerales,Exportación,Exportaciones (en millones de US $),6.46016
Antillas Neerlandesas,Mundo,2008,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),15.459113
Antillas Neerlandesas,Mundo,2008,Bienes de capital,Exportación,Exportaciones (en millones de US $),26.548722
Antillas Neerlandesas,Mundo,2008,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.027312
Antillas Neerlandesas,Mundo,2008,Varios,Exportación,Exportaciones (en millones de US $),12.822057
Antillas Neerlandesas,Mundo,2008,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.29006
Antillas Neerlandesas,Mundo,2008,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.988737
Antillas Neerlandesas,Mundo,2008,Bienes intermedios,Exportación,Exportaciones (en millones de US $),37.591557
Antillas Neerlandesas,Mundo,2008,Reino animal,Exportación,Exportaciones (en millones de US $),2.543734
Antillas Neerlandesas,Mundo,2008,Madera,Exportación,Exportaciones (en millones de US $),4.652029
Antillas Neerlandesas,Mundo,2008,Materias primas,Exportación,Exportaciones (en millones de US $),2.131181
Antillas Neerlandesas,Mundo,2008,Metales,Exportación,Exportaciones (en millones de US $),4.268104
Antillas Neerlandesas,Mundo,2008,Bienes intermedios,Importación,Importaciones (en millones de US $),209.872442
Antillas Neerlandesas,Mundo,2008,Bienes de consumo,Importación,Importaciones (en millones de US $),770.575625000001
Antillas Neerlandesas,Mundo,2008,Bienes de capital,Importación,Importaciones (en millones de US $),347.507459
Antillas Neerlandesas,Mundo,2008,Materias primas,Importación,Importaciones (en millones de US $),92.0601950000001
Antillas Neerlandesas,Mundo,2008,Todos los productos,Exportación,Exportaciones (en millones de US $),146.230267
Antillas Neerlandesas,Mundo,2008,Todos los productos,Importación,Importaciones (en millones de US $),1436.995908
Antillas Neerlandesas,...,2008,...,Importación,Número de asociados importadores,132
Antillas Neerlandesas,...,2008,...,Importación,Número de productos importados,3577
Antillas Neerlandesas,...,2008,...,Exportación,Número de asociados exportadores,93
Antillas Neerlandesas,...,2008,...,Exportación,Número de productos exportados,1037
