País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Emiratos Árabes Unidos,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,208396.418844889
Emiratos Árabes Unidos,Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,26564.0276199504
Emiratos Árabes Unidos,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,23978.5679833107
Emiratos Árabes Unidos,Iraq,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14252.42674092
Emiratos Árabes Unidos,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10732.8257744451
Emiratos Árabes Unidos,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,77563.8064036236
Emiratos Árabes Unidos,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51795.572369467
Emiratos Árabes Unidos,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,20876.1870985137
Emiratos Árabes Unidos,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,16876.6002374016
Emiratos Árabes Unidos,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10859.5107903792
Emiratos Árabes Unidos,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1605.73673779288
Emiratos Árabes Unidos,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),63072.9472972529
Emiratos Árabes Unidos,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),57981.1380953492
Emiratos Árabes Unidos,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),10892.0122112225
Emiratos Árabes Unidos,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),14765.6039554962
Emiratos Árabes Unidos,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),9476.72193460283
Emiratos Árabes Unidos,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1231.06530552447
Emiratos Árabes Unidos,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),173170.790681951
Emiratos Árabes Unidos,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1464.75767963034
Emiratos Árabes Unidos,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2625.65081848809
Emiratos Árabes Unidos,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),119241.279999309
Emiratos Árabes Unidos,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),217322.865341462
Emiratos Árabes Unidos,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),22748.6829252086
Emiratos Árabes Unidos,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),4196.39470985448
Emiratos Árabes Unidos,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),5423.14652906237
Emiratos Árabes Unidos,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),74734.2320306475
Emiratos Árabes Unidos,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),11014.188427601
Emiratos Árabes Unidos,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),52638.8324795147
Emiratos Árabes Unidos,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),435.071457081399
Emiratos Árabes Unidos,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),6246.11869376774
Emiratos Árabes Unidos,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),90888.3233697039
Emiratos Árabes Unidos,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),103062.659811838
Emiratos Árabes Unidos,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),76989.1320095174
Emiratos Árabes Unidos,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),23359.8541414677
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),425159.796503562
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),347528.997702207
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),132523200.188074
Emiratos Árabes Unidos,...,2021,...,Aranceles,N.o de acuerdos arancelarios,5
Emiratos Árabes Unidos,...,2021,...,Importación,Número de asociados importadores,228
Emiratos Árabes Unidos,...,2021,...,Importación,Número de productos importados,4472
Emiratos Árabes Unidos,...,2021,...,Exportación,Número de asociados exportadores,217
Emiratos Árabes Unidos,...,2021,...,Exportación,Número de productos exportados,4377
Emiratos Árabes Unidos,...,2018,...,Others,Population,9630959
Emiratos Árabes Unidos,...,2016,...,Others,LPI Score,3.941767
Emiratos Árabes Unidos,...,2016,...,Others,LPI Rank,13
Emiratos Árabes Unidos,...,2019,...,Others,Ease of Doing Business Rank,16
Emiratos Árabes Unidos,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0323606
Emiratos Árabes Unidos,...,2019,...,Others,Trading Across Borders Rank,92
Emiratos Árabes Unidos,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0299518
Emiratos Árabes Unidos,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,49.016
Emiratos Árabes Unidos,Arabia Saudita,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.248
Emiratos Árabes Unidos,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6399
Emiratos Árabes Unidos,Iraq,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.3523
Emiratos Árabes Unidos,Hong Kong (China),2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.5244
Emiratos Árabes Unidos,No especificados ,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,22.3187
Emiratos Árabes Unidos,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.904
Emiratos Árabes Unidos,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.007
Emiratos Árabes Unidos,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.8562
Emiratos Árabes Unidos,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.1248
Emiratos Árabes Unidos,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.987
Emiratos Árabes Unidos,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.2756
Emiratos Árabes Unidos,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),17.5779
Emiratos Árabes Unidos,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.3777
Emiratos Árabes Unidos,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),14.8351
Emiratos Árabes Unidos,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),13.6375
Emiratos Árabes Unidos,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.3445
Emiratos Árabes Unidos,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.6176
Emiratos Árabes Unidos,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),28.0462
Emiratos Árabes Unidos,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.229
Emiratos Árabes Unidos,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.2896
Emiratos Árabes Unidos,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),40.7308
Emiratos Árabes Unidos,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),51.1156
Emiratos Árabes Unidos,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),5.3506
Emiratos Árabes Unidos,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1023
Emiratos Árabes Unidos,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),1.4691
Emiratos Árabes Unidos,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),2.5906
Emiratos Árabes Unidos,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),12.381
Emiratos Árabes Unidos,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),2.5619
Emiratos Árabes Unidos,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),3.473
Emiratos Árabes Unidos,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),26.1527
Emiratos Árabes Unidos,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),29.6558
Emiratos Árabes Unidos,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),22.1533
Emiratos Árabes Unidos,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),6.7217
Emiratos Árabes Unidos,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.82039223322945
Emiratos Árabes Unidos,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),4.04858266584415
Emiratos Árabes Unidos,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),1.97712994938233
Emiratos Árabes Unidos,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),3.44472497658456
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),20.5901570267173
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),4.1101163318099
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.63431775416572
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),1400.1240234375
Emiratos Árabes Unidos,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),24.8272399237473
Emiratos Árabes Unidos,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,14.9373278062668
Emiratos Árabes Unidos,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0673014717982803
