País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Argentina,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11766.91566576
Argentina,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6155.9763773
Argentina,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4995.20307321
Argentina,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4293.27336013
Argentina,Chile,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4204.8820988
Argentina,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,13525.03927786
Argentina,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12391.97858168
Argentina,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5922.11710804001
Argentina,Paraguay,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2914.63250389
Argentina,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2527.15161053
Argentina,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1243.81620096
Argentina,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),6218.18098556
Argentina,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3228.60007298
Argentina,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),774.56649721
Argentina,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),87.58502112
Argentina,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),838.9664831
Argentina,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),4547.9284036
Argentina,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),25451.63516757
Argentina,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),408.85732259
Argentina,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),18651.87384016
Argentina,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),11713.5031129
Argentina,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),8.75989691
Argentina,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),6286.91573872
