País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Armenia,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,793.87040696
Armenia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,393.16088793
Armenia,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,359.46893268
Armenia,Bulgaria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,198.42801652
Armenia,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,191.19096188
Armenia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1784.9861866
Armenia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,861.77488363
Armenia,"Irán, Rep. Islámica del",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,437.562703465
Armenia,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,223.59247505
Armenia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,208.64988126
Armenia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),930.68303813
Armenia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),346.41137434
Armenia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),104.166017
Armenia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),42.82580765
Armenia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),55.2252854
Armenia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),138.97066049
Armenia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),183.35138214
Armenia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),568.85771565
Armenia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),5.87437724
Armenia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),47.50147073
Armenia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),19.78323088
Armenia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),37.4938899
Armenia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),624.72748826
Armenia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),4.64709667
Armenia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1113.6146062
Armenia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),107.03118188
Armenia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),4.35748427
Armenia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1177.44963908
Armenia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),51.48891254
Armenia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),364.42560956
Armenia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),2598.373429775
Armenia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1089.90889571
Armenia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1115.54428137
Armenia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),516.02593283
Armenia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),2964.79829008
Armenia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),5323.905109255
Armenia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),2533916.046805
Armenia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,7
Armenia,...,2021,...,Importación,Número de asociados importadores,189
Armenia,...,2021,...,Importación,Número de productos importados,3865
Armenia,...,2021,...,Exportación,Número de asociados exportadores,101
Armenia,...,2021,...,Exportación,Número de productos exportados,1994
Armenia,...,2019,...,Others,Ease of Doing Business Rank,47
Armenia,...,2019,...,Others,Trading Across Borders Rank,43
Armenia,...,2018,...,Others,Population,2951776
Armenia,...,2013,...,Others,CPIA Trade Ratings,4.5
Armenia,...,2016,...,Others,LPI Score,2.205513
Armenia,...,2016,...,Others,LPI Rank,141
Armenia,...,,...,Others,Services Trade Restrictions Index - Over All,11.4
Armenia,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,26.7765
Armenia,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.261
Armenia,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.1246
Armenia,Bulgaria,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.6928
Armenia,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.4487
Armenia,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,33.5278
Armenia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.1869
Armenia,"Irán, Rep. Islámica del",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.2188
Armenia,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.1998
Armenia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.9191
Armenia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),4.6874
Armenia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),6.1843
Armenia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),19.1871
Armenia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),21.0715
Armenia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1567
Armenia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),37.5612
