País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Antigua y Barbuda,Emiratos Árabes Unidos,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,19.7284107338283
Antigua y Barbuda,Estados Unidos,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.66458282649994
Antigua y Barbuda,Países Bajos,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.8505160576709
Antigua y Barbuda,San Martín,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.2446238795699
Antigua y Barbuda,Santa Lucía,2019,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.18185551306695
Antigua y Barbuda,Estados Unidos,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,274.011738624641
Antigua y Barbuda,China,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,42.0004450155909
Antigua y Barbuda,Japón,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,25.0466318518785
Antigua y Barbuda,Trinidad y Tobago,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22.7102492094124
Antigua y Barbuda,Curacao,2019,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18.4492795574237
Antigua y Barbuda,Mundo,2019,Reino animal,Exportación,Exportaciones (en millones de US $),1.35035840062125
Antigua y Barbuda,Mundo,2019,Madera,Exportación,Exportaciones (en millones de US $),0.125828280436632
Antigua y Barbuda,Mundo,2019,Materias primas,Exportación,Exportaciones (en millones de US $),21.9592819011868
Antigua y Barbuda,Mundo,2019,Combustibles,Exportación,Exportaciones (en millones de US $),4.48232019932633
Antigua y Barbuda,Mundo,2019,Metales,Exportación,Exportaciones (en millones de US $),1.37478883220532
Antigua y Barbuda,Mundo,2019,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.085639962406752
Antigua y Barbuda,Mundo,2019,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.13289087211274
Antigua y Barbuda,Mundo,2019,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.852985557127728
Antigua y Barbuda,Mundo,2019,Minerales,Exportación,Exportaciones (en millones de US $),0.001474074192
Antigua y Barbuda,Mundo,2019,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),21.8300819093694
Antigua y Barbuda,Mundo,2019,Bienes de capital,Exportación,Exportaciones (en millones de US $),1.10326803640958
Antigua y Barbuda,Mundo,2019,Productos químicos,Exportación,Exportaciones (en millones de US $),0.230673281416824
Antigua y Barbuda,Mundo,2019,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.696203385325896
Antigua y Barbuda,Mundo,2019,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.145162841242656
Antigua y Barbuda,Mundo,2019,Transporte,Exportación,Exportaciones (en millones de US $),1.38495821079665
Antigua y Barbuda,Mundo,2019,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.083459573343432
Antigua y Barbuda,Mundo,2019,Varios,Exportación,Exportaciones (en millones de US $),1.01684877394049
Antigua y Barbuda,Mundo,2019,Productos alimenticios,Exportación,Exportaciones (en millones de US $),3.35154815330902
Antigua y Barbuda,Mundo,2019,Calzado,Exportación,Exportaciones (en millones de US $),0.107881653074976
Antigua y Barbuda,Mundo,2019,Bienes de consumo,Exportación,Exportaciones (en millones de US $),13.4845829083962
Antigua y Barbuda,Mundo,2019,Bienes intermedios,Importación,Importaciones (en millones de US $),77.3376584647899
Antigua y Barbuda,Mundo,2019,Bienes de consumo,Importación,Importaciones (en millones de US $),311.660133884661
Antigua y Barbuda,Mundo,2019,Bienes de capital,Importación,Importaciones (en millones de US $),108.668102445299
Antigua y Barbuda,Mundo,2019,Materias primas,Importación,Importaciones (en millones de US $),70.2363842929844
Antigua y Barbuda,Mundo,2019,Todos los productos,Exportación,Exportaciones (en millones de US $),37.4001184031203
Antigua y Barbuda,Mundo,2019,Todos los productos,Importación,Importaciones (en millones de US $),568.301522749303
Antigua y Barbuda,Mundo,2019,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),58791.089725509
Antigua y Barbuda,...,2019,...,Aranceles,N.o de acuerdos arancelarios,3
Antigua y Barbuda,...,2019,...,Importación,Número de asociados importadores,152
Antigua y Barbuda,...,2019,...,Importación,Número de productos importados,3156
Antigua y Barbuda,...,2019,...,Exportación,Número de asociados exportadores,56
Antigua y Barbuda,...,2019,...,Exportación,Número de productos exportados,699
Antigua y Barbuda,...,2018,...,Others,Population,96286
Antigua y Barbuda,...,2019,...,Others,Trading Across Borders Rank,112
