País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Australia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,116817.969911497
Australia,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,62012.3335815506
Australia,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,30319.4684203745
Australia,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22592.8695287891
Australia,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13624.0426043943
Australia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,72858.757972878
Australia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,26614.5632914543
Australia,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15778.7188635171
Australia,Tailandia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11570.0449942924
Australia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11185.2633532341
Australia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),17864.2465232873
Australia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),4383.49433876643
Australia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),44408.9091705895
Australia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),132419.633036736
Australia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),18805.5426565846
Australia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),12829.052261185
Australia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1078.16319444803
Australia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),2949.17281610779
Australia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),12477.6485518334
Australia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),8173.10578020395
Australia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),614.573160950522
Australia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),12754.4185773284
Australia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),94764.8705419745
Australia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),12603.054414904
Australia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),15705.6565924192
Australia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2168.40144973465
Australia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),218955.910331898
Australia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5168.94573175853
