País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Austria,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,58563.814922165
Austria,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13155.821279694
Austria,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,12746.472861937
Austria,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10081.034057347
Austria,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7686.156387911
Austria,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,69544.609253366
Austria,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15489.570220236
Austria,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,13646.777303963
Austria,Suiza,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11969.959172772
Austria,República Checa,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9148.838722459
Austria,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),10170.564617658
Austria,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1214.246994402
Austria,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),63389.852193187
Austria,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),4819.6570908
Austria,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),27757.437743164
Austria,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),21607.50571113
Austria,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),48207.280041961
Austria,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),10375.389308951
Austria,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),23345.747504069
Austria,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),579.891822326
Austria,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),5400.96279874
Austria,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),63778.6148349091
Austria,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2783.136757085
Austria,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),6155.610092684
Austria,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),51509.200821089
Austria,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),591.90688137
Austria,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),15329.638537955
Austria,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),3362.534625662
