País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Azerbaiyán,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9243.52137426
Azerbaiyán,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2818.11658414
Azerbaiyán,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,920.82183748
Azerbaiyán,Israel,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,898.09697986
Azerbaiyán,Croacia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,751.27874856
Azerbaiyán,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2073.44096641
Azerbaiyán,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1843.65015485
Azerbaiyán,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1639.54138601
Azerbaiyán,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,632.73529316
Azerbaiyán,Ucrania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,468.09292787
Azerbaiyán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),109.23459304
Azerbaiyán,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.42293675
Azerbaiyán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),6401.29943009
Azerbaiyán,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),19633.50306302
Azerbaiyán,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),375.48691198
Azerbaiyán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),442.75476939
Azerbaiyán,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),7.92082429
Azerbaiyán,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),691.07799757
Azerbaiyán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),303.0153179
Azerbaiyán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1584.10886257
Azerbaiyán,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),245.22298224
Azerbaiyán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),54.4599694
Azerbaiyán,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),63.83933603
Azerbaiyán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),220.25963429
Azerbaiyán,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),68.55454073
Azerbaiyán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),12.22797039
Azerbaiyán,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),26.09877116
Azerbaiyán,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),16.12455412
Azerbaiyán,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),6.32515337
Azerbaiyán,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),14149.65059744
Azerbaiyán,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2629.5124686
Azerbaiyán,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),4860.02748209001
Azerbaiyán,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),916.95153067
Azerbaiyán,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),3229.0197984
Azerbaiyán,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),22207.97478494
Azerbaiyán,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),11695.9321843
Azerbaiyán,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),4572901.43401
Azerbaiyán,...,2021,...,Aranceles,N.o de acuerdos arancelarios,4
Azerbaiyán,...,2021,...,Importación,Número de asociados importadores,170
Azerbaiyán,...,2021,...,Importación,Número de productos importados,3894
Azerbaiyán,...,2021,...,Exportación,Número de asociados exportadores,120
Azerbaiyán,...,2021,...,Exportación,Número de productos exportados,1809
Azerbaiyán,...,2018,...,Others,Population,9942334
Azerbaiyán,...,2010,...,Others,CPIA Trade Ratings,3.5
Azerbaiyán,...,2019,...,Others,Trading Across Borders Rank,83
Azerbaiyán,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0344225
Azerbaiyán,...,2019,...,Others,Ease of Doing Business Rank,34
Azerbaiyán,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0482686
Azerbaiyán,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,41.6225
Azerbaiyán,Turquía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.6897
Azerbaiyán,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.1464
Azerbaiyán,Israel,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.044
Azerbaiyán,Croacia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.3829
Azerbaiyán,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.7279
Azerbaiyán,Turquía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.7632
Azerbaiyán,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.018
Azerbaiyán,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.4099
Azerbaiyán,Ucrania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.0022
Azerbaiyán,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.2875
Azerbaiyán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.9918
Azerbaiyán,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.3087
Azerbaiyán,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),3.1118
Azerbaiyán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.3644
Azerbaiyán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),7.1331
Azerbaiyán,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),88.4074
Azerbaiyán,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),1.6908
Azerbaiyán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.4919
Azerbaiyán,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0019
Azerbaiyán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),28.8243
Azerbaiyán,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.0726
Azerbaiyán,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0285
Azerbaiyán,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),63.7143
Azerbaiyán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),1.9937
Azerbaiyán,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.0357
Azerbaiyán,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),1.1042
Azerbaiyán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.2452
Azerbaiyán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0551
Azerbaiyán,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.1175
Azerbaiyán,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),22.4823
Azerbaiyán,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),41.5531
Azerbaiyán,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),27.6081
Azerbaiyán,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),7.8399
Azerbaiyán,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),4.38223010609811
Azerbaiyán,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),4.98817402875092
Azerbaiyán,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),7.99457423436918
Azerbaiyán,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),6.04678844123262
Azerbaiyán,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Azerbaiyán,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),36.039570943234
Azerbaiyán,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),9.25607844172536
Azerbaiyán,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),6.00954192070871
Azerbaiyán,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),359.758209228516
Azerbaiyán,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),30.9926625018992
Azerbaiyán,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.93493921325807
Azerbaiyán,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.251914105675701
