País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Burundi,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,45.18640344
Burundi,"Congo, Rep. Dem. del",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,33.648642807
Burundi,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13.56433517
Burundi,Pakistán,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10.227782713
Burundi,Tanzanía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.757611937
Burundi,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,189.517764278
Burundi,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,126.714318803
Burundi,Tanzanía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,101.621143858
Burundi,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,88.280402444
Burundi,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,73.815297066
Burundi,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.94322791
Burundi,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2.388421078
Burundi,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),4.764297396
Burundi,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1.339995444
Burundi,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.277928241
Burundi,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1.432157819
Burundi,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),60.119235844
Burundi,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.808455193
Burundi,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),56.837533704
Burundi,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.438422102
Burundi,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.138708074
Burundi,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),49.855776581
Burundi,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),15.698518721
Burundi,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),44.612272003
Burundi,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),2.894580758
Burundi,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),15.924076459
Burundi,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.010914114
Burundi,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),53.942878883
Burundi,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3.611764702
Burundi,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),10.148081573
Burundi,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),284.353340633
Burundi,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),160.220935964
Burundi,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),514.337495903
Burundi,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),65.201146855
Burundi,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),163.656476675
Burundi,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1025.017811213
Burundi,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),430161.28782
Burundi,...,2021,...,Aranceles,N.o de acuerdos arancelarios,5
Burundi,...,2021,...,Importación,Número de asociados importadores,139
Burundi,...,2021,...,Importación,Número de productos importados,2965
Burundi,...,2021,...,Exportación,Número de asociados exportadores,70
Burundi,...,2021,...,Exportación,Número de productos exportados,856
Burundi,...,2018,...,Others,Population,11175378
Burundi,...,2018,...,Others,CPIA Trade Ratings,4
Burundi,...,2016,...,Others,LPI Rank,107
Burundi,...,2016,...,Others,LPI Score,2.509776
Burundi,...,2019,...,Others,Trading Across Borders Rank,169
Burundi,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0703175
Burundi,...,2019,...,Others,Ease of Doing Business Rank,166
Burundi,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0985606
Burundi,...,,...,Others,Services Trade Restrictions Index - Over All,20.2
Burundi,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,27.6105
Burundi,"Congo, Rep. Dem. del",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,20.5605
Burundi,Bélgica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.2883
Burundi,Pakistán,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.2495
Burundi,Tanzanía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.7402
Burundi,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,18.4892
Burundi,Arabia Saudita,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.3622
Burundi,Tanzanía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.9141
Burundi,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.6126
