País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bélgica,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,65823.6957669605
Bélgica,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,53115.6554456803
Bélgica,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,47637.7411774105
Bélgica,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,26690.6247224444
Bélgica,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,23950.1295512078
Bélgica,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,83001.1154602863
Bélgica,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,63246.1806788759
Bélgica,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,40560.5030008212
Bélgica,Irlanda,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,21998.1031754038
Bélgica,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19271.2849171785
Bélgica,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),9094.24308311194
Bélgica,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),7936.29746134732
Bélgica,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),27929.0491173852
Bélgica,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),647.089630937156
Bélgica,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),15970.9983542474
Bélgica,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),28001.5341749592
Bélgica,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),40278.142519532
Bélgica,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),113139.169894088
Bélgica,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),37001.9058321865
Bélgica,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),22373.8325954043
Bélgica,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),606.609952896252
Bélgica,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),141065.288904467
Bélgica,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),34077.3623494926
Bélgica,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),32075.3566920075
Bélgica,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),10600.696224003
Bélgica,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),7408.29438633299
Bélgica,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),156265.967997824
Bélgica,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1888.09248469815
Bélgica,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),25254.4295679943
Bélgica,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),59242.9696917484
Bélgica,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),58279.607095367
Bélgica,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),73776.091262739
Bélgica,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),138177.766922252
Bélgica,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),122661.637372452
Bélgica,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),386354.055203238
Bélgica,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),393654.602370278
Bélgica,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),79010681.0434298
Bélgica,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Bélgica,...,2021,...,Importación,Número de asociados importadores,233
Bélgica,...,2021,...,Importación,Número de productos importados,4513
Bélgica,...,2021,...,Exportación,Número de asociados exportadores,231
Bélgica,...,2021,...,Exportación,Número de productos exportados,4481
Bélgica,...,2019,...,Others,Ease of Doing Business Rank,46
Bélgica,...,2019,...,Others,Trading Across Borders Rank,1
Bélgica,...,2018,...,Others,Population,11422068
Bélgica,...,2016,...,Others,LPI Score,4.108538
Bélgica,...,2016,...,Others,LPI Rank,6
Bélgica,...,,...,Others,Services Trade Restrictions Index - Over All,22.5
Bélgica,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.0371
Bélgica,Francia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.7479
Bélgica,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.3301
Bélgica,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.9083
Bélgica,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.199
Bélgica,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,21.0848
Bélgica,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,16.0664
Bélgica,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.3036
Bélgica,Irlanda,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.5882
Bélgica,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.8955
Bélgica,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),2.7438
Bélgica,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.9175
Bélgica,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),40.4463
