País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Benin,Bangladesh,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,427.111581156839
Benin,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,101.897175956081
Benin,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,100.606571692383
Benin,Viet Nam,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,51.285946476757
Benin,Chad,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,36.5777277665944
Benin,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,546.925636183429
Benin,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,374.044653403349
Benin,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,349.97272798043
Benin,Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,177.730680215714
Benin,Togo,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,133.172235158597
Benin,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),37.3367320271982
Benin,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),64.2257638870042
Benin,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),127.722706619742
Benin,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),641.038669651896
Benin,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),146.824606046791
Benin,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),11.6286869647228
Benin,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),16.385894152328
Benin,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),33.3682371788672
Benin,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),47.375615545171
Benin,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.12251003948955
Benin,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),89.1311907816427
Benin,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),8.18772430336887
Benin,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),23.4831267458395
Benin,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2.69259241251951
Benin,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),9.34767751311933
Benin,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.06905289986511
Benin,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),2.23563345303063
Benin,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.57533875086993
Benin,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),31.0942989323631
Benin,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),734.706130896005
Benin,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),602.953786350326
Benin,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1740.64851287749
Benin,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),537.33650779356
Benin,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),299.159199147092
Benin,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),1023.52202389853
Benin,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),3186.19803811192
Benin,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),439634.813024923
Benin,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Benin,...,2021,...,Importación,Número de asociados importadores,144
Benin,...,2021,...,Importación,Número de productos importados,2990
Benin,...,2021,...,Exportación,Número de asociados exportadores,92
Benin,...,2021,...,Exportación,Número de productos exportados,678
Benin,...,2018,...,Others,Population,11485048
Benin,...,2018,...,Others,CPIA Trade Ratings,4
Benin,...,2016,...,Others,LPI Score,2.428125
Benin,...,2016,...,Others,LPI Rank,115
Benin,...,2019,...,Others,Ease of Doing Business Rank,149
Benin,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Benin,...,2014,...,Others,No Of NTM Measures,62
Benin,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1172308
Benin,...,2019,...,Others,Trading Across Borders Rank,110
Benin,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1091418
Benin,Bangladesh,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,41.7296
Benin,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.9555
Benin,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.8294
Benin,Viet Nam,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0107
Benin,Chad,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.5737
Benin,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.1655
Benin,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.7395
Benin,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,10.984
Benin,Bélgica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.5781
Benin,Togo,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.1797
Benin,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.0562
Benin,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),3.038
Benin,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),71.7822
Benin,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.1361
Benin,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.6009
Benin,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),3.2601
Benin,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),4.6287
Benin,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.012
Benin,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),8.7083
Benin,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),3.6479
Benin,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),6.275
Benin,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.2631
Benin,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.9133
Benin,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.8
Benin,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),2.2943
Benin,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0067
Benin,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.2184
Benin,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),12.4787
Benin,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),62.6307
Benin,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),14.345
Benin,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),16.8645
Benin,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),54.6309
Benin,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),9.3892
Benin,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),18.9239
Benin,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),11.2190727544748
Benin,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),8.06733330002645
Benin,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),24.8481300644235
Benin,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),9.16771686318936
Benin,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Benin,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),21.7388741011529
Benin,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),11.3152283204512
Benin,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),10.8892801435972
Benin,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),35
Benin,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),21.3150437389626
Benin,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.55353963695572
Benin,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.318784481068873
