País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Burkina Faso,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3678.54889812073
Burkina Faso,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,485.066587831627
Burkina Faso,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,194.677826402312
Burkina Faso,Côte d'Ivoire,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,182.313315701561
Burkina Faso,Malí,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,78.5322387788515
Burkina Faso,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,654.71289820685
Burkina Faso,Côte d'Ivoire,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,398.128472141502
Burkina Faso,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,367.911848149771
Burkina Faso,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,325.647790246673
Burkina Faso,Ghana,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,276.329012110076
Burkina Faso,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),34.3651057666083
Burkina Faso,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.15300670500028
Burkina Faso,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),90.8282040799819
Burkina Faso,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),306.214930550714
Burkina Faso,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),460.196185617357
Burkina Faso,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),4002.22479321087
Burkina Faso,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),12.7174852090226
Burkina Faso,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),24.6543950589699
Burkina Faso,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),14.4814641313815
Burkina Faso,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),42.3348329673683
Burkina Faso,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),4.12708834616796
Burkina Faso,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),29.6943541965511
Burkina Faso,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),200.595207451191
Burkina Faso,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),3924.05400295557
Burkina Faso,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),72.5289875880568
Burkina Faso,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.20975179888344
Burkina Faso,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),3.73012373817964
Burkina Faso,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1.720761575918
Burkina Faso,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.77926288113948
Burkina Faso,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),894.445974071109
Burkina Faso,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),2546.8107555009
Burkina Faso,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1046.31631565902
Burkina Faso,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),966.563883932141
Burkina Faso,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),150.239491740015
Burkina Faso,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),5060.02795895002
Burkina Faso,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),4709.93044683208
Burkina Faso,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1099847.93639657
Burkina Faso,...,2021,...,Aranceles,N.o de acuerdos arancelarios,2
Burkina Faso,...,2021,...,Importación,Número de asociados importadores,158
Burkina Faso,...,2021,...,Importación,Número de productos importados,3016
Burkina Faso,...,2021,...,Exportación,Número de asociados exportadores,108
Burkina Faso,...,2021,...,Exportación,Número de productos exportados,793
Burkina Faso,...,2018,...,Others,Population,19751535
Burkina Faso,...,2018,...,Others,CPIA Trade Ratings,4
Burkina Faso,...,2016,...,Others,LPI Score,2.73081
Burkina Faso,...,2016,...,Others,LPI Rank,81
Burkina Faso,...,2019,...,Others,Ease of Doing Business Rank,151
Burkina Faso,...,2012,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Burkina Faso,...,2012,...,Others,No Of NTM Measures,33
Burkina Faso,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1351108
Burkina Faso,...,2019,...,Others,Trading Across Borders Rank,122
Burkina Faso,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1214529
Burkina Faso,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,72.6982
Burkina Faso,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.5862
Burkina Faso,Singapur,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.8474
Burkina Faso,Côte d'Ivoire,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.603
Burkina Faso,Malí,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.552
Burkina Faso,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.9007
Burkina Faso,Côte d'Ivoire,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.453
Burkina Faso,Francia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.8114
Burkina Faso,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.9141
Burkina Faso,Ghana,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.8669
Burkina Faso,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.6791
Burkina Faso,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.003
Burkina Faso,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),1.795
Burkina Faso,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.2513
Burkina Faso,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.4872
Burkina Faso,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.034
Burkina Faso,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0154
Burkina Faso,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),17.6767
Burkina Faso,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),6.0516
Burkina Faso,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),9.0947
Burkina Faso,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),79.0949
Burkina Faso,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.2862
Burkina Faso,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.8367
Burkina Faso,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0041
Burkina Faso,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.0737
Burkina Faso,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0816
Burkina Faso,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.5868
Burkina Faso,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),3.9643
