País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bangladesh,Estados Unidos,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6139.352462
Bangladesh,Alemania,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4673.195989
Bangladesh,Reino Unido,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3499.88043
Bangladesh,España,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1845.435424
Bangladesh,Francia,2015,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1755.410855
Bangladesh,China,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10349.332537
Bangladesh,India,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5882.080036
Bangladesh,Singapur,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4417.926243
Bangladesh,Hong Kong (China),2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2624.045683
Bangladesh,Indonesia,2015,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2203.619112
Bangladesh,Mundo,2015,Reino vegetal,Exportación,Exportaciones (en millones de US $),200.448362
Bangladesh,Mundo,2015,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),28332.567299
Bangladesh,Mundo,2015,Bienes intermedios,Exportación,Exportaciones (en millones de US $),973.239914999999
Bangladesh,Mundo,2015,Productos alimenticios,Exportación,Exportaciones (en millones de US $),244.825059
Bangladesh,Mundo,2015,Calzado,Exportación,Exportaciones (en millones de US $),787.292443
Bangladesh,Mundo,2015,Bienes de consumo,Exportación,Exportaciones (en millones de US $),29643.834042
Bangladesh,Mundo,2015,Minerales,Exportación,Exportaciones (en millones de US $),9.939278
Bangladesh,Mundo,2015,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),43.463656
Bangladesh,Mundo,2015,Bienes de capital,Exportación,Exportaciones (en millones de US $),292.783134
Bangladesh,Mundo,2015,Productos químicos,Exportación,Exportaciones (en millones de US $),101.246184
Bangladesh,Mundo,2015,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),230.773854
Bangladesh,Mundo,2015,Reino animal,Exportación,Exportaciones (en millones de US $),462.572821
Bangladesh,Mundo,2015,Madera,Exportación,Exportaciones (en millones de US $),49.418835
Bangladesh,Mundo,2015,Materias primas,Exportación,Exportaciones (en millones de US $),823.791362
