País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bulgaria,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6127.78651291814
Bulgaria,Rumania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4150.86656377214
Bulgaria,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3100.79919118137
Bulgaria,Grecia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2868.58843703567
Bulgaria,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2543.8414080143
Bulgaria,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5674.96454129111
Bulgaria,Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3635.17073468007
Bulgaria,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3523.94866421999
Bulgaria,Rumania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3497.73740184843
Bulgaria,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3059.15678692922
Bulgaria,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),99.4506367745094
Bulgaria,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),3405.77173179358
Bulgaria,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2244.60938341838
Bulgaria,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),232.605613175131
Bulgaria,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),12616.075087568
Bulgaria,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3795.02277290467
Bulgaria,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),7513.52579413108
Bulgaria,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),4333.38018625453
Bulgaria,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2252.0833438042
Bulgaria,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),12896.0238151134
Bulgaria,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1913.20353572166
Bulgaria,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1769.72759681104
Bulgaria,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1425.96659697412
Bulgaria,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1092.78220324713
Bulgaria,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),8660.07788979266
