País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bahrein,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5771.848196097
Bahrein,Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2460.689720977
Bahrein,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1623.377393097
Bahrein,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1335.722200673
Bahrein,"Egipto, Rep. Árabe de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,729.865105866
Bahrein,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1997.195252865
Bahrein,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1840.779183367
Bahrein,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1045.196631317
Bahrein,Australia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1023.646250665
Bahrein,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,966.392162887
Bahrein,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2361.9775354
Bahrein,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),542.152362741
Bahrein,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),892.910476458999
Bahrein,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),292.371765094
Bahrein,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),16.852217209
Bahrein,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),2005.803202862
Bahrein,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),5782.424135959
Bahrein,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),5927.030620972
