País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bahamas,Estados Unidos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,268.890309
Bahamas,No especificados ,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,25.957494
Bahamas,Francia,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,21.188782
Bahamas,Islas Turcas y Caicos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13.137142
Bahamas,Reino Unido,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.875541
Bahamas,Estados Unidos,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1759.681554
Bahamas,No especificados ,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,61.877235
Bahamas,Canadá,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51.011378
Bahamas,Islas Turcas y Caicos,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,50.519532
Bahamas,China,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,34.023482
Bahamas,Mundo,2020,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.096483
Bahamas,Mundo,2020,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),30.65291
Bahamas,Mundo,2020,Bienes intermedios,Exportación,Exportaciones (en millones de US $),59.330699
Bahamas,Mundo,2020,Productos alimenticios,Exportación,Exportaciones (en millones de US $),10.333845
Bahamas,Mundo,2020,Calzado,Exportación,Exportaciones (en millones de US $),0.066804
Bahamas,Mundo,2020,Bienes de consumo,Exportación,Exportaciones (en millones de US $),216.078337
Bahamas,Mundo,2020,Minerales,Exportación,Exportaciones (en millones de US $),19.288956
Bahamas,Mundo,2020,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),12.39334
Bahamas,Mundo,2020,Bienes de capital,Exportación,Exportaciones (en millones de US $),35.724733
Bahamas,Mundo,2020,Plástico o caucho,Exportación,Exportaciones (en millones de US $),59.348178
Bahamas,Mundo,2020,Transporte,Exportación,Exportaciones (en millones de US $),24.55201
Bahamas,Mundo,2020,Productos químicos,Exportación,Exportaciones (en millones de US $),2.380215
Bahamas,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),28.244964
Bahamas,Mundo,2020,Combustibles,Exportación,Exportaciones (en millones de US $),96.32439
Bahamas,Mundo,2020,Metales,Exportación,Exportaciones (en millones de US $),16.908498
Bahamas,Mundo,2020,Reino animal,Exportación,Exportaciones (en millones de US $),25.037328
Bahamas,Mundo,2020,Madera,Exportación,Exportaciones (en millones de US $),0.564411
Bahamas,Mundo,2020,Materias primas,Exportación,Exportaciones (en millones de US $),28.125777
Bahamas,Mundo,2020,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.007927
Bahamas,Mundo,2020,Varios,Exportación,Exportaciones (en millones de US $),13.059587
Bahamas,Mundo,2020,Bienes intermedios,Importación,Importaciones (en millones de US $),204.180786
Bahamas,Mundo,2020,Bienes de consumo,Importación,Importaciones (en millones de US $),1348.86863
Bahamas,Mundo,2020,Bienes de capital,Importación,Importaciones (en millones de US $),381.990637
Bahamas,Mundo,2020,Materias primas,Importación,Importaciones (en millones de US $),196.920615
Bahamas,Mundo,2020,Todos los productos,Exportación,Exportaciones (en millones de US $),339.259846
Bahamas,Mundo,2020,Todos los productos,Importación,Importaciones (en millones de US $),2205.003339
Bahamas,Mundo,2018,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1321770.571
Bahamas,...,2018,...,Aranceles,N.o de acuerdos arancelarios,2
Bahamas,...,2020,...,Importación,Número de asociados importadores,111
Bahamas,...,2020,...,Importación,Número de productos importados,3853
Bahamas,...,2020,...,Exportación,Número de asociados exportadores,35
Bahamas,...,2020,...,Exportación,Número de productos exportados,879
Bahamas,...,2019,...,Others,Ease of Doing Business Rank,119
Bahamas,...,2019,...,Others,Trading Across Borders Rank,161
Bahamas,...,2018,...,Others,Population,385640
Bahamas,...,2016,...,Others,LPI Score,2.749937
Bahamas,...,2016,...,Others,LPI Rank,78
