País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bosnia y Herzegovina,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1290.41350522
Bosnia y Herzegovina,Croacia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1126.62628956
Bosnia y Herzegovina,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1096.64254727
Bosnia y Herzegovina,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,969.31851208
Bosnia y Herzegovina,Austria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,776.43379248
Bosnia y Herzegovina,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1569.63773559
Bosnia y Herzegovina,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1550.32770001
Bosnia y Herzegovina,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1480.27972996
Bosnia y Herzegovina,Croacia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1160.20032527
Bosnia y Herzegovina,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1026.45299014
Bosnia y Herzegovina,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),735.28383214
Bosnia y Herzegovina,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1865.56549223
Bosnia y Herzegovina,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),233.16168495
Bosnia y Herzegovina,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),444.34613145
Bosnia y Herzegovina,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),3067.40772011
Bosnia y Herzegovina,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),94.96955273
Bosnia y Herzegovina,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),842.65641689
Bosnia y Herzegovina,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),673.256128006161
Bosnia y Herzegovina,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),114.496429946161
Bosnia y Herzegovina,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),128.69533228
Bosnia y Herzegovina,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1249.70096731
Bosnia y Herzegovina,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),601.9116389
Bosnia y Herzegovina,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1224.25203927
Bosnia y Herzegovina,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),399.79056338
Bosnia y Herzegovina,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),237.72126498
Bosnia y Herzegovina,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),66.16565545
Bosnia y Herzegovina,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),999.67086432
Bosnia y Herzegovina,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),224.17764348
Bosnia y Herzegovina,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),401.24546847
Bosnia y Herzegovina,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3623.54085068
Bosnia y Herzegovina,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),3967.19555164602
Bosnia y Herzegovina,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),5863.1509536744
Bosnia y Herzegovina,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2088.34689906
Bosnia y Herzegovina,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1106.46243145
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),8614.11001086616
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),13028.9516129004
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),8267610.78717041
Bosnia y Herzegovina,...,2021,...,Aranceles,N.o de acuerdos arancelarios,8
Bosnia y Herzegovina,...,2021,...,Importación,Número de asociados importadores,196
Bosnia y Herzegovina,...,2021,...,Importación,Número de productos importados,4129
Bosnia y Herzegovina,...,2021,...,Exportación,Número de asociados exportadores,138
Bosnia y Herzegovina,...,2021,...,Exportación,Número de productos exportados,3053
Bosnia y Herzegovina,...,2018,...,Others,Population,3323929
Bosnia y Herzegovina,...,2016,...,Others,LPI Score,2.596254
Bosnia y Herzegovina,...,2013,...,Others,CPIA Trade Ratings,4
Bosnia y Herzegovina,...,2016,...,Others,LPI Rank,97
Bosnia y Herzegovina,...,2019,...,Others,Trading Across Borders Rank,27
Bosnia y Herzegovina,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0337862
Bosnia y Herzegovina,...,2019,...,Others,Ease of Doing Business Rank,90
Bosnia y Herzegovina,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0886252
Bosnia y Herzegovina,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.9802
Bosnia y Herzegovina,Croacia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.0788
Bosnia y Herzegovina,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,12.7308
Bosnia y Herzegovina,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.2527
Bosnia y Herzegovina,Austria,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.0135
Bosnia y Herzegovina,Italia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.0473
Bosnia y Herzegovina,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.8991
Bosnia y Herzegovina,"Serbia, Rep. Fed. de (Serbia y Montenegro)",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.3615
Bosnia y Herzegovina,Croacia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.9048
Bosnia y Herzegovina,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.8782
Bosnia y Herzegovina,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.1025
Bosnia y Herzegovina,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),9.7823
Bosnia y Herzegovina,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),7.8157
Bosnia y Herzegovina,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.3292
Bosnia y Herzegovina,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),1.494
Bosnia y Herzegovina,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),14.5076
Bosnia y Herzegovina,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),8.5358
Bosnia y Herzegovina,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),21.6571
Bosnia y Herzegovina,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),6.9875
Bosnia y Herzegovina,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),14.2122
Bosnia y Herzegovina,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),2.7067
Bosnia y Herzegovina,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),5.1584
Bosnia y Herzegovina,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),35.6091
Bosnia y Herzegovina,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.7681
Bosnia y Herzegovina,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),11.605
Bosnia y Herzegovina,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.6411
Bosnia y Herzegovina,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),2.7597
Bosnia y Herzegovina,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),2.6024
Bosnia y Herzegovina,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),4.658
Bosnia y Herzegovina,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),42.0652
Bosnia y Herzegovina,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),45.0009
Bosnia y Herzegovina,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),16.0285
Bosnia y Herzegovina,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),8.4923
Bosnia y Herzegovina,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),30.4491
Bosnia y Herzegovina,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),4.19295762971112
Bosnia y Herzegovina,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),1.83743911217822
Bosnia y Herzegovina,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.50289956543023
Bosnia y Herzegovina,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),2.53686421346582
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),19.1479841120697
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),3.15515667513202
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.79830418874954
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),227.936798095703
Bosnia y Herzegovina,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),67.6488266081378
Bosnia y Herzegovina,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,4.82556647439876
Bosnia y Herzegovina,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0806536802305945
