País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Belarús,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,16086.9714
Belarús,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13972.2163
Belarús,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1584.4218
Belarús,Ucrania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1214.6607
Belarús,Lituania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1185.4588
Belarús,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15492.118
Belarús,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11948.931
Belarús,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3403.4212
Belarús,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1504.4735
Belarús,Ucrania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1439.0031
Belarús,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1097.4877
Belarús,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),3257.1529
Belarús,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),79.5608
Belarús,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),17694.4397
Belarús,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1115.0157
Belarús,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1534.6284
Belarús,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1675.3084
Belarús,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),241.036
Belarús,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),9179.7207
Belarús,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),185.1181
Belarús,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),547.7763
Belarús,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3728.0589
Belarús,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1222.8616
Belarús,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1429.7369
Belarús,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),8494.62009999999
Belarús,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),3804.3106
Belarús,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2803.3442
Belarús,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2073.6482
Belarús,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),3201.2455
Belarús,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),7896.23910000001
Belarús,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),8541.4459
Belarús,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),6938.22579999999
Belarús,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2867.2156
Belarús,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),39889.0228
Belarús,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),41810.6904
Belarús,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),16424948.6
Belarús,...,2021,...,Aranceles,N.o de acuerdos arancelarios,9
Belarús,...,2021,...,Importación,Número de asociados importadores,185
Belarús,...,2021,...,Importación,Número de productos importados,3795
Belarús,...,2021,...,Exportación,Número de asociados exportadores,163
Belarús,...,2021,...,Exportación,Número de productos exportados,3470
Belarús,...,2018,...,Others,Population,9485386
Belarús,...,2016,...,Others,LPI Score,2.399232
Belarús,...,2016,...,Others,LPI Rank,120
Belarús,...,2019,...,Others,Ease of Doing Business Rank,49
Belarús,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.111352
Belarús,...,2019,...,Others,Trading Across Borders Rank,24
Belarús,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0801941
Belarús,...,,...,Others,Services Trade Restrictions Index - Over All,35.1
Belarús,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,40.3293
Belarús,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,35.0277
Belarús,Polonia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.9721
Belarús,Ucrania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,3.0451
Belarús,Lituania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.9719
Belarús,No especificados ,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,37.053
Belarús,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,28.5787
Belarús,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.1401
Belarús,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.5983
Belarús,Ucrania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.4417
