País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bélgica-Luxemburgo,Alemania,1998,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,34900.328448
Bélgica-Luxemburgo,Francia,1998,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,32474.01984
Bélgica-Luxemburgo,Países Bajos,1998,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22417.557504
Bélgica-Luxemburgo,Reino Unido,1998,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,17730.439168
Bélgica-Luxemburgo,Italia,1998,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10513.327104
Bélgica-Luxemburgo,Alemania,1998,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,31050.549248
Bélgica-Luxemburgo,Países Bajos,1998,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,27467.69408
Bélgica-Luxemburgo,Francia,1998,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,22861.953024
Bélgica-Luxemburgo,Reino Unido,1998,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,14134.959104
Bélgica-Luxemburgo,Estados Unidos,1998,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,13345.445888
Bélgica-Luxemburgo,Mundo,1998,Combustibles,Exportación,Exportaciones (en millones de US $),4335.994368
Bélgica-Luxemburgo,Mundo,1998,Metales,Exportación,Exportaciones (en millones de US $),17405.519428
Bélgica-Luxemburgo,Mundo,1998,Productos alimenticios,Exportación,Exportaciones (en millones de US $),8165.735328
Bélgica-Luxemburgo,Mundo,1998,Calzado,Exportación,Exportaciones (en millones de US $),1582.873112
Bélgica-Luxemburgo,Mundo,1998,Bienes de consumo,Exportación,Exportaciones (en millones de US $),62197.1668980001
Bélgica-Luxemburgo,Mundo,1998,Minerales,Exportación,Exportaciones (en millones de US $),1217.46576
Bélgica-Luxemburgo,Mundo,1998,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),14421.696416
Bélgica-Luxemburgo,Mundo,1998,Bienes de capital,Exportación,Exportaciones (en millones de US $),33555.756907
Bélgica-Luxemburgo,Mundo,1998,Reino animal,Exportación,Exportaciones (en millones de US $),5017.01264
Bélgica-Luxemburgo,Mundo,1998,Madera,Exportación,Exportaciones (en millones de US $),6360.577694
Bélgica-Luxemburgo,Mundo,1998,Materias primas,Exportación,Exportaciones (en millones de US $),14810.175562
Bélgica-Luxemburgo,Mundo,1998,Productos químicos,Exportación,Exportaciones (en millones de US $),25756.040424
Bélgica-Luxemburgo,Mundo,1998,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),27329.620992
Bélgica-Luxemburgo,Mundo,1998,Plástico o caucho,Exportación,Exportaciones (en millones de US $),15109.950208
Bélgica-Luxemburgo,Mundo,1998,Transporte,Exportación,Exportaciones (en millones de US $),26619.22096
Bélgica-Luxemburgo,Mundo,1998,Cueros y pieles,Exportación,Exportaciones (en millones de US $),678.742
Bélgica-Luxemburgo,Mundo,1998,Varios,Exportación,Exportaciones (en millones de US $),7027.674668
Bélgica-Luxemburgo,Mundo,1998,Reino vegetal,Exportación,Exportaciones (en millones de US $),6042.357486
Bélgica-Luxemburgo,Mundo,1998,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),11544.960529
Bélgica-Luxemburgo,Mundo,1998,Bienes intermedios,Exportación,Exportaciones (en millones de US $),55829.315714
Bélgica-Luxemburgo,Mundo,1998,Bienes de consumo,Importación,Importaciones (en millones de US $),53087.893107
