País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Belice,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,60.59753981
Belice,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,58.591700355
Belice,México,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22.07157946
Belice,Guatemala,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18.60349264
Belice,Irlanda,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14.212170585
Belice,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,381.180751445
Belice,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,168.741362395
Belice,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,136.335881475
Belice,Guatemala,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,129.361887015
Belice,Trinidad y Tobago,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18.79140834
Belice,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),59.10758437
Belice,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.23840606
Belice,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),97.77481158
Belice,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),145.60890453
Belice,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.005231845
Belice,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),70.74791739
Belice,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),
Belice,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.70852696
Belice,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3.119595165
Belice,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),11.468410025
Belice,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),2.60848223
Belice,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.162151565
Belice,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1.66338901
Belice,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3.308603255
Belice,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2.396399185
Belice,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.02274271
