País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bermudas,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,25.7669601
Bermudas,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.16324997
Bermudas,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.79721783
Bermudas,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.26466859
Bermudas,Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.12608868
Bermudas,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,763.37845936
Bermudas,Canadá,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,72.0430003400001
Bermudas,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,62.6089773499999
Bermudas,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,21.99090149
Bermudas,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17.69732794
Bermudas,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.09201992
Bermudas,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),17.9233354
Bermudas,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),0.20826487
Bermudas,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),3.13911763
Bermudas,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2.24983228
Bermudas,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.0047935
Bermudas,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),3.42158187
Bermudas,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.0125837
Bermudas,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.11748239
Bermudas,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.73167625
Bermudas,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.00682226
Bermudas,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),0.33661084
Bermudas,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.00053754
Bermudas,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.14937655
Bermudas,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),21.38029694
Bermudas,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.00993103
Bermudas,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),4.32063117
Bermudas,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),0.05126015
Bermudas,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.00992985
Bermudas,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),0.05676939
Bermudas,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),68.1206022799999
Bermudas,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),645.22061133
Bermudas,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),128.42485596
Bermudas,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),74.24206164
Bermudas,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),28.63252908
Bermudas,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1055.20624822
Bermudas,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),63766.0421
Bermudas,...,2021,...,Aranceles,N.o de acuerdos arancelarios,1
Bermudas,...,2021,...,Importación,Número de asociados importadores,179
Bermudas,...,2021,...,Importación,Número de productos importados,3450
Bermudas,...,2021,...,Exportación,Número de asociados exportadores,32
Bermudas,...,2021,...,Exportación,Número de productos exportados,459
Bermudas,...,2018,...,Others,Population,63968
Bermudas,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,89.9919
Bermudas,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.0627
Bermudas,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.7843
Bermudas,Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.9244
Bermudas,Turquía,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,0.4404
Bermudas,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,72.344
Bermudas,Canadá,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.8274
Bermudas,Reino Unido,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.9333
Bermudas,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.084
Bermudas,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,1.6771
Bermudas,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),7.8576
Bermudas,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0167
Bermudas,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),11.95
Bermudas,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.0238
Bermudas,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),1.1756
Bermudas,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.0019
Bermudas,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.5217
Bermudas,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),74.6714
Bermudas,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.0439
Bermudas,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.4103
Bermudas,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),2.5554
Bermudas,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.179
Bermudas,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0347
Bermudas,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),0.1983
Bermudas,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.7274
Bermudas,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),10.9635
Bermudas,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0347
Bermudas,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),15.0899
Bermudas,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.3214
Bermudas,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),62.5978
Bermudas,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),61.1464
Bermudas,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),6.4557
Bermudas,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),12.1706
Bermudas,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),7.0358
Bermudas,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),27.0729868680943
Bermudas,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),15.6566978730623
Bermudas,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),26.2497804423299
Bermudas,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),5.32673623310794
Bermudas,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Bermudas,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),-7.87374921375968
Bermudas,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),22.2443987367153
Bermudas,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),23.8359650914372
Bermudas,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),3000
Bermudas,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),7.02732849972114
Bermudas,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.37540453074434
Bermudas,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.317305196249977
