País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bolivia,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1849.98473448
Bolivia,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1449.01211332
Bolivia,Argentina,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1043.38697252
Bolivia,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,916.80988437
Bolivia,Colombia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,713.65032912
Bolivia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1975.78415046
Bolivia,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1707.18609975
Bolivia,Argentina,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1274.1065779
Bolivia,Perú,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,809.33887935
Bolivia,Chile,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,630.32557143
Bolivia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),102.33666494
Bolivia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),57.58352272
Bolivia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1162.21877716
Bolivia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),16.508948
Bolivia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),4937.44780731
Bolivia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),9.88162554
Bolivia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),15.33380812
Bolivia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),130.73641453
Bolivia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),100.22389408
Bolivia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3234.16892333
Bolivia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),27.94956169
Bolivia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),23.65012161
Bolivia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),895.25779958
Bolivia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),13.07859836
Bolivia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),2825.10016985
Bolivia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),2652.60452754
Bolivia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2926.86748177
Bolivia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),81.79100517
Bolivia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),2359.63838916
Bolivia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),585.91870544
Bolivia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),2417.35457957
Bolivia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),2145.94437362
Bolivia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),4893.0478082
Bolivia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),157.54674443
Bolivia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),11079.78884024
Bolivia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),9618.07396467
Bolivia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),3471880.5127
Bolivia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,46
Bolivia,...,2021,...,Importación,Número de asociados importadores,190
Bolivia,...,2021,...,Importación,Número de productos importados,3874
Bolivia,...,2021,...,Exportación,Número de asociados exportadores,113
Bolivia,...,2021,...,Exportación,Número de productos exportados,1424
Bolivia,...,2018,...,Others,Population,11353142
Bolivia,...,2015,...,Others,CPIA Trade Ratings,4.5
Bolivia,...,2016,...,Others,LPI Score,2.251462
Bolivia,...,2016,...,Others,LPI Rank,138
Bolivia,...,2019,...,Others,Ease of Doing Business Rank,150
Bolivia,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),1577
Bolivia,...,2014,...,Others,No Of NTM Measures,31
Bolivia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.154539
Bolivia,...,,...,Others,Services Trade Restrictions Index - Over All,13.8
Bolivia,...,2019,...,Others,Trading Across Borders Rank,100
Bolivia,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1073379
Bolivia,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.6969
Bolivia,Brasil,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.078
Bolivia,Argentina,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.417
Bolivia,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.2746
Bolivia,Colombia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.441
Bolivia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,20.5424
Bolivia,Brasil,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,17.7498
Bolivia,Argentina,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.247
Bolivia,Perú,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.4148
Bolivia,Chile,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.5536
Bolivia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),8.0801
Bolivia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.118
Bolivia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),25.4978
Bolivia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),10.4895
Bolivia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.149
Bolivia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),44.5627
Bolivia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.9236
Bolivia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.5197
Bolivia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),23.9409
Bolivia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),26.4163
Bolivia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),0.7382
Bolivia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.0892
Bolivia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.1384
Bolivia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.18
Bolivia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.9046
Bolivia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),29.1898
Bolivia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.2523
Bolivia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.2135
Bolivia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),21.2968
Bolivia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),5.2882
Bolivia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),22.3116
Bolivia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),25.1335
Bolivia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),50.8735
Bolivia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),1.638
Bolivia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),3.78974253186792
Bolivia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),6.54430073712815
Bolivia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),5.04058806553768
Bolivia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),1.59820980855094
Bolivia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Bolivia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),20.2922537413182
Bolivia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),9.83121511935651
Bolivia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),5.12197575996507
Bolivia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),40
Bolivia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),27.6560628244376
Bolivia,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,2.26212734482546
Bolivia,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.0818306751451303
