País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Brasil,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,87907.887856
Brasil,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,31337.515819
Brasil,Argentina,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11878.463042
Brasil,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9316.0196
Brasil,Chile,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7018.693189
Brasil,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,53464.01677
Brasil,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41502.926649
Brasil,Argentina,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12412.751643
Brasil,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,11921.301837
Brasil,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7233.947615
Brasil,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),54892.229812
Brasil,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),4483.28015
Brasil,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),70175.0640479999
Brasil,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),5234.48443
Brasil,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),11670.945013
Brasil,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),49698.201563
Brasil,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),8186.310061
Brasil,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),22950.13962
Brasil,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),11276.989986
Brasil,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),14437.457361
Brasil,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),19733.535708
Brasil,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),13237.057972
Brasil,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),156478.494967
Brasil,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),25346.016449
Brasil,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1053.87542
Brasil,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),31178.2173499999
Brasil,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1496.767215
Brasil,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),2695.800282
Brasil,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),38353.218741
