País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Barbados,No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,73.075832
Barbados,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,67.3656635
Barbados,Jamaica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,27.040035
Barbados,Guyana,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,26.268741
Barbados,Trinidad y Tobago,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,25.6630995
Barbados,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,787.137035
Barbados,Trinidad y Tobago,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,208.979642
Barbados,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,73.955181
Barbados,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,67.2455665
Barbados,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,54.0604095
Barbados,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),83.506293
Barbados,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),19.111194
Barbados,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),78.5869425
Barbados,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),2.0765945
Barbados,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),255.168105
Barbados,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),16.7692445
Barbados,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),5.84234
Barbados,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),50.388697
Barbados,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),14.057793
Barbados,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),12.0517615
Barbados,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),26.509277
Barbados,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),50.096424
Barbados,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),12.921082
Barbados,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),6.788662
Barbados,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),4.3368005
Barbados,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1.107725
Barbados,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),19.983541
Barbados,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),2.7707225
Barbados,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),20.165791
Barbados,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),15.682367
Barbados,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),203.7647145
Barbados,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),336.9720375
Barbados,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),991.762158500001
Barbados,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),132.0752135
Barbados,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),350.172911
Barbados,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),1673.2554875
Barbados,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),340670.225
Barbados,...,2021,...,Aranceles,N.o de acuerdos arancelarios,4
Barbados,...,2021,...,Importación,Número de asociados importadores,142
Barbados,...,2021,...,Importación,Número de productos importados,3547
Barbados,...,2021,...,Exportación,Número de asociados exportadores,108
Barbados,...,2021,...,Exportación,Número de productos exportados,1433
Barbados,...,2019,...,Others,Trading Across Borders Rank,132
Barbados,...,2019,...,Others,Ease of Doing Business Rank,128
Barbados,...,2018,...,Others,Population,286641
Barbados,No especificados ,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,20.8685
Barbados,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,19.2378
Barbados,Jamaica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.7219
Barbados,Guyana,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.5016
Barbados,Trinidad y Tobago,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.3287
Barbados,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,47.0423
Barbados,Trinidad y Tobago,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,12.4894
Barbados,Reino Unido,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.4198
Barbados,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.0188
Barbados,Países Bajos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.2309
Barbados,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),4.7888
Barbados,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.6684
Barbados,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),14.3897
Barbados,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),22.4423
Barbados,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.593
Barbados,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),72.8692
Barbados,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),4.0145
Barbados,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),3.4417
