País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Brunei Darussalam,Singapur,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2368.33618865999
Brunei Darussalam,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2248.7306095
Brunei Darussalam,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2222.93807317
Brunei Darussalam,Australia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1379.14395333
Brunei Darussalam,Filipinas,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,552.82279506
Brunei Darussalam,Malasia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1913.82190283
Brunei Darussalam,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1309.23237867
Brunei Darussalam,Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,933.27045103
Brunei Darussalam,Singapur,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,745.29914663
Brunei Darussalam,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,575.087359650001
Brunei Darussalam,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2.03005242
Brunei Darussalam,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),6.26227879
Brunei Darussalam,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2140.57676919
Brunei Darussalam,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),9.75953305
Brunei Darussalam,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),11.16386097
Brunei Darussalam,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),168.94096319
Brunei Darussalam,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),11.24632285
Brunei Darussalam,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.11778951
