País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Bhután,India,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,497.716611
Bhután,Bangladesh,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,21.910109
Bhután,Italia,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.335984
Bhután,Japón,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.125911
Bhután,Nepal,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.008435
Bhután,India,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,781.471333
Bhután,"Corea, Rep. de",2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,30.986223
Bhután,China,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24.845497
Bhután,Japón,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,23.548695
Bhután,Austria,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17.552077
Bhután,Mundo,2012,Reino vegetal,Exportación,Exportaciones (en millones de US $),30.06643
Bhután,Mundo,2012,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.886269
Bhután,Mundo,2012,Bienes intermedios,Exportación,Exportaciones (en millones de US $),448.106165
Bhután,Mundo,2012,Productos alimenticios,Exportación,Exportaciones (en millones de US $),8.941855
Bhután,Mundo,2012,Calzado,Exportación,Exportaciones (en millones de US $),0.001163
Bhután,Mundo,2012,Bienes de consumo,Exportación,Exportaciones (en millones de US $),22.54428
Bhután,Mundo,2012,Combustibles,Exportación,Exportaciones (en millones de US $),174.862131
Bhután,Mundo,2012,Metales,Exportación,Exportaciones (en millones de US $),209.741679
Bhután,Mundo,2012,Minerales,Exportación,Exportaciones (en millones de US $),59.989459
Bhután,Mundo,2012,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2.368656
Bhután,Mundo,2012,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.069084
Bhután,Mundo,2012,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.001196
Bhután,Mundo,2012,Varios,Exportación,Exportaciones (en millones de US $),0.339595
Bhután,Mundo,2012,Productos químicos,Exportación,Exportaciones (en millones de US $),30.690684
Bhután,Mundo,2012,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.117652
Bhután,Mundo,2012,Plástico o caucho,Exportación,Exportaciones (en millones de US $),6.191922
Bhután,Mundo,2012,Transporte,Exportación,Exportaciones (en millones de US $),
Bhután,Mundo,2012,Reino animal,Exportación,Exportaciones (en millones de US $),0.107844
Bhután,Mundo,2012,Madera,Exportación,Exportaciones (en millones de US $),6.920502
Bhután,Mundo,2012,Materias primas,Exportación,Exportaciones (en millones de US $),60.495862
Bhután,Mundo,2012,Bienes intermedios,Importación,Importaciones (en millones de US $),312.875659
Bhután,Mundo,2012,Bienes de consumo,Importación,Importaciones (en millones de US $),371.687778000001
Bhután,Mundo,2012,Bienes de capital,Importación,Importaciones (en millones de US $),188.239965
