País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Botswana,Emiratos Árabes Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1914.33044706976
Botswana,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1754.51312016134
Botswana,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1290.51361676543
Botswana,Sudáfrica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,681.277085425324
Botswana,Israel,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,450.702300486236
Botswana,Sudáfrica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4638.67410039391
Botswana,Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1203.72427260908
Botswana,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,405.882796687888
Botswana,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,403.875808426577
Botswana,Namibia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,400.08322049804
Botswana,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),20.7919142027469
Botswana,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),19.707149572439
Botswana,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),980.238550174817
Botswana,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),15.3801762779004
Botswana,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1.51961965588479
Botswana,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),238.782781732845
Botswana,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),65.3973505990765
Botswana,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),173.860775485469
Botswana,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),29.1234388354261
Botswana,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),35.3809715000791
Botswana,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),139.869137682847
Botswana,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),6782.96675847774
Botswana,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),140.519755505863
Botswana,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),3.67611814555227
Botswana,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),6.90481082279974
Botswana,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),33.9296635390818
Botswana,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),40.9539802651326
Botswana,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),97.3714096053311
Botswana,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),6.63348234722832
Botswana,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),6111.24570878977
Botswana,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1411.14881084348
Botswana,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1347.2037058796
Botswana,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),2882.76627338007
Botswana,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2811.42143107748
Botswana,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),7473.46675701473
Botswana,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),8459.39892710839
Botswana,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),7135900.69345151
Botswana,...,2021,...,Aranceles,N.o de acuerdos arancelarios,11
Botswana,...,2021,...,Importación,Número de asociados importadores,153
Botswana,...,2021,...,Importación,Número de productos importados,3968
Botswana,...,2021,...,Exportación,Número de asociados exportadores,124
Botswana,...,2021,...,Exportación,Número de productos exportados,2239
Botswana,...,2018,...,Others,Population,2254126
Botswana,...,2016,...,Others,LPI Rank,57
Botswana,...,2016,...,Others,LPI Score,3.045458
Botswana,...,2019,...,Others,Ease of Doing Business Rank,87
Botswana,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0593047
Botswana,...,2019,...,Others,Trading Across Borders Rank,55
Botswana,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0063094
Botswana,...,,...,Others,Services Trade Restrictions Index - Over All,38.3
Botswana,Emiratos Árabes Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,25.615
Botswana,Bélgica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,23.4766
Botswana,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.2679
Botswana,Sudáfrica,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.1159
Botswana,Israel,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.0307
Botswana,Sudáfrica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,54.8346
Botswana,Bélgica,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,14.2294
Botswana,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.798
Botswana,India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.7743
Botswana,Namibia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.7295
Botswana,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),1.8715
Botswana,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),90.7606
Botswana,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),1.8802
Botswana,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0492
Botswana,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.0924
Botswana,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.8751
Botswana,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),2.3264
Botswana,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.3029
Botswana,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.0888
Botswana,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),81.7726
Botswana,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.454
Botswana,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.548
Botswana,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.2782
Botswana,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.2637
Botswana,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),13.1162
Botswana,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.3897
Botswana,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.4734
Botswana,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.2058
Botswana,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0203
Botswana,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),3.1951
Botswana,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),16.6814
Botswana,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),15.9255
Botswana,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),34.0777
Botswana,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),33.2343
Botswana,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),0.445568110471507
Botswana,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.55026545771232
Botswana,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),2.20124726031916
Botswana,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),0.0333486720391465
Botswana,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Botswana,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),20.5414398215625
Botswana,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),7.78856002600906
Botswana,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),0.954854705174968
Botswana,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),294.838104248047
Botswana,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),65.3578379246002
Botswana,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,1.60066065484353
Botswana,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.191124403710563
