País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
República Centroafricana,Emiratos Árabes Unidos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,9.979160343904
República Centroafricana,Suecia,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.2431829027
República Centroafricana,Francia,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4.1974572386307
República Centroafricana,Suiza,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.26560004749497
República Centroafricana,Uganda,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.8526838507
República Centroafricana,Camerún,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,142.995318682268
República Centroafricana,China,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,93.4459685011915
República Centroafricana,Francia,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,76.5464933790896
República Centroafricana,Bélgica,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,38.4202830203616
República Centroafricana,Italia,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,27.5946038198242
República Centroafricana,Mundo,2020,Productos químicos,Exportación,Exportaciones (en millones de US $),0.013181782658
República Centroafricana,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),4.1034592446447
República Centroafricana,Mundo,2020,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.27190196245133
República Centroafricana,Mundo,2020,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.3080237112
República Centroafricana,Mundo,2020,Bienes intermedios,Exportación,Exportaciones (en millones de US $),13.1224470283696
República Centroafricana,Mundo,2020,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.07114658443367
República Centroafricana,Mundo,2020,Transporte,Exportación,Exportaciones (en millones de US $),10.8464461443716
República Centroafricana,Mundo,2020,Minerales,Exportación,Exportaciones (en millones de US $),
República Centroafricana,Mundo,2020,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),16.752237061431
República Centroafricana,Mundo,2020,Bienes de capital,Exportación,Exportaciones (en millones de US $),14.709273146269
República Centroafricana,Mundo,2020,Combustibles,Exportación,Exportaciones (en millones de US $),0.0159853643207
República Centroafricana,Mundo,2020,Metales,Exportación,Exportaciones (en millones de US $),0.2702871805966
República Centroafricana,Mundo,2020,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.0142560072083
República Centroafricana,Mundo,2020,Varios,Exportación,Exportaciones (en millones de US $),0.353876431082
República Centroafricana,Mundo,2020,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.0202505421
República Centroafricana,Mundo,2020,Calzado,Exportación,Exportaciones (en millones de US $),0.00034798333333
República Centroafricana,Mundo,2020,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1.30875508943346
República Centroafricana,Mundo,2020,Reino animal,Exportación,Exportaciones (en millones de US $),0.00756863749997
República Centroafricana,Mundo,2020,Madera,Exportación,Exportaciones (en millones de US $),7.48320140107798
República Centroafricana,Mundo,2020,Materias primas,Exportación,Exportaciones (en millones de US $),11.3911727993372
República Centroafricana,Mundo,2020,Bienes de consumo,Importación,Importaciones (en millones de US $),288.121933659506
República Centroafricana,Mundo,2020,Bienes intermedios,Importación,Importaciones (en millones de US $),70.0532054190899
República Centroafricana,Mundo,2020,Bienes de capital,Importación,Importaciones (en millones de US $),162.323027747404
República Centroafricana,Mundo,2020,Materias primas,Importación,Importaciones (en millones de US $),23.8366670799647
República Centroafricana,Mundo,2020,Todos los productos,Exportación,Exportaciones (en millones de US $),40.5321700384092
República Centroafricana,Mundo,2020,Todos los productos,Importación,Importaciones (en millones de US $),544.916439295165
República Centroafricana,Mundo,2017,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),26971.409
República Centroafricana,...,2017,...,Aranceles,N.o de acuerdos arancelarios,2
República Centroafricana,...,2020,...,Importación,Número de asociados importadores,97
República Centroafricana,...,2020,...,Importación,Número de productos importados,1269
República Centroafricana,...,2020,...,Exportación,Número de asociados exportadores,42
República Centroafricana,...,2020,...,Exportación,Número de productos exportados,107
República Centroafricana,...,2019,...,Others,Ease of Doing Business Rank,184
República Centroafricana,...,2019,...,Others,Trading Across Borders Rank,164
República Centroafricana,...,2018,...,Others,Population,4666377
República Centroafricana,...,2018,...,Others,CPIA Trade Ratings,3
República Centroafricana,Emiratos Árabes Unidos,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,24.6203
República Centroafricana,Suecia,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,15.403
