País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Canadá,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,377983.779657918
Canadá,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22404.738496709
Canadá,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13155.173156262
Canadá,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11569.58935001
Canadá,México,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6541.054947179
Canadá,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,239020.890669047
Canadá,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,68559.619546811
Canadá,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,26994.855034087
Canadá,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15139.531651957
Canadá,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12323.999196929
Canadá,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),19337.449543315
Canadá,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),251.649160078
Canadá,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),123726.416414621
Canadá,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),15597.811971069
Canadá,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),23933.033540018
Canadá,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),76183.910004764
Canadá,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),31273.366950482
Canadá,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3388.190237324
Canadá,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),131806.801189223
Canadá,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),33696.306594004
Canadá,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),45478.465370151
Canadá,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),119885.741129596
Canadá,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),41722.878101523
Canadá,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),20222.355202718
Canadá,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),56800.780027752
Canadá,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),15855.795624544
Canadá,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),37480.480940632
Canadá,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),148368.603765187
Canadá,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),464.267678754
Canadá,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),36150.282802375
Canadá,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),174770.955025074
Canadá,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),161532.096915157
Canadá,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),102145.720772954
Canadá,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),40753.150488522
Canadá,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),501538.854874334
Canadá,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),491400.949546148
Canadá,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),319185395.048766
Canadá,...,2021,...,Aranceles,N.o de acuerdos arancelarios,23
Canadá,...,2021,...,Importación,Número de asociados importadores,223
Canadá,...,2021,...,Importación,Número de productos importados,4536
Canadá,...,2021,...,Exportación,Número de asociados exportadores,222
Canadá,...,2021,...,Exportación,Número de productos exportados,4375
Canadá,...,2019,...,Others,Ease of Doing Business Rank,23
Canadá,...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),5319
Canadá,...,2015,...,Others,No Of NTM Measures,90
Canadá,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0709994
Canadá,...,2016,...,Others,LPI Score,3.930707
Canadá,...,,...,Others,Services Trade Restrictions Index - Over All,21.6
Canadá,...,2019,...,Others,Trading Across Borders Rank,51
Canadá,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0484893
Canadá,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.454475224
Canadá,...,2018,...,Others,Population,37058856
Canadá,...,2016,...,Others,LPI Rank,14
Canadá,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.394808173
Canadá,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,75.3648
Canadá,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.4672
Canadá,Reino Unido,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.623
Canadá,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,2.3068
Canadá,México,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,1.3042
Canadá,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,48.6407
Canadá,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,13.9519
Canadá,México,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.4934
Canadá,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.0809
Canadá,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,2.5079
Canadá,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),23.9036
Canadá,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),8.319
Canadá,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),6.2355
Canadá,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),0.6756
Canadá,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),26.2805
Canadá,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),6.7186
Canadá,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),9.0678
Canadá,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),3.11
Canadá,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),4.7719
Canadá,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),15.19
Canadá,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),3.8556
Canadá,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.0502
Canadá,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),24.6694
Canadá,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.0926
Canadá,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),7.2079
Canadá,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),3.1614
Canadá,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),7.4731
Canadá,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),29.5827
Canadá,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.0321
Canadá,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),11.3253
Canadá,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),35.5659
Canadá,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),20.7866
Canadá,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),32.8718
Canadá,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),8.2933
Canadá,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),0.414519250517715
Canadá,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),5.05878885549243
Canadá,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.982531057828806
Canadá,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),2.18258290446727
Canadá,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Canadá,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),14.0419307067356
Canadá,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),2.05569042866169
Canadá,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.35461923265825
Canadá,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),656.390075683594
Canadá,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),80.3802645046237
Canadá,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,18.2172905094102
Canadá,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.500792158177487
