País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Suiza,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,62673.9786248917
Suiza,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,55240.4729511979
Suiza,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,33066.4921898436
Suiza,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,31409.2393285863
Suiza,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,20196.8637665752
Suiza,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,62360.1573880106
Suiza,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,36389.8740394069
Suiza,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24292.9226139388
Suiza,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,24049.7367936684
Suiza,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19791.1896980823
Suiza,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),4277.35453701788
Suiza,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),11149.9245530337
Suiza,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1064.56294562098
Suiza,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2233.38198475047
Suiza,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2861.28678945394
Suiza,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3984.17567296105
Suiza,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),4197.87046973924
Suiza,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),196749.487412555
Suiza,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),385.334712705251
Suiza,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),106665.851909627
Suiza,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),56586.3145797803
Suiza,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),802.228089221102
Suiza,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),47662.3580158873
Suiza,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),140174.607716375
Suiza,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),37570.4821374105
Suiza,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),6686.84048955182
Suiza,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),6087.30210353673
Suiza,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5903.8615471215
Suiza,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),924.790158330832
Suiza,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),122072.808632811
Suiza,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),153147.775404009
Suiza,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),109125.195335962
Suiza,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),51132.7881722936
Suiza,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),9859.74945789523
Suiza,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),379770.927042891
Suiza,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),323356.086951794
Suiza,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),273377085.05988
Suiza,...,2021,...,Aranceles,N.o de acuerdos arancelarios,47
Suiza,...,2021,...,Importación,Número de asociados importadores,198
Suiza,...,2021,...,Importación,Número de productos importados,4522
Suiza,...,2021,...,Exportación,Número de asociados exportadores,223
Suiza,...,2021,...,Exportación,Número de productos exportados,4334
Suiza,...,2018,...,Others,Population,8516543
Suiza,...,2019,...,Others,Ease of Doing Business Rank,36
Suiza,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0510602
Suiza,...,2016,...,Others,LPI Score,3.987158
Suiza,...,2016,...,Others,LPI Rank,11
Suiza,...,2019,...,Others,Trading Across Borders Rank,26
Suiza,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.035908
Suiza,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,16.5031
Suiza,Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.5457
Suiza,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.707
Suiza,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.2706
Suiza,Italia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.3182
Suiza,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,19.2853
Suiza,Reino Unido,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.2538
Suiza,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.5127
