País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Chile,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,36523.6447057691
Chile,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,14932.946858562
Chile,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7238.28099710956
Chile,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4826.18232710118
Chile,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4582.08691836364
Chile,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,27515.1738697413
Chile,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,16027.0100578746
Chile,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7735.61482530726
Chile,Argentina,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4913.57827064627
Chile,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2947.1097468012
Chile,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),848.185931971776
Chile,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),990.386410119754
Chile,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3931.67064222343
Chile,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),979.102799336957
Chile,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),4235.4941364621
Chile,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),92.805484611491
Chile,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),6956.2543924716
Chile,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),42.1468837233479
Chile,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),184.22742668074
Chile,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),8023.23747060197
Chile,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),379.868727136891
Chile,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),36590.0158180536
Chile,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),34297.9905355247
Chile,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),1402.34012223404
Chile,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1735.67269275716
Chile,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),7389.70926238246
Chile,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),5965.6903534995
Chile,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),49385.5752760336
Chile,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),772.269413709612
Chile,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),25141.6836060629
Chile,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),38307.4172020904
Chile,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),16064.0106248373
Chile,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),26240.0135527673
Chile,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),11542.4220216596
Chile,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),94676.8092062815
Chile,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),92190.9571814814
Chile,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),77348118.4537632
Chile,...,2021,...,Aranceles,N.o de acuerdos arancelarios,76
Chile,...,2021,...,Importación,Número de asociados importadores,188
Chile,...,2021,...,Importación,Número de productos importados,4389
Chile,...,2021,...,Exportación,Número de asociados exportadores,176
Chile,...,2021,...,Exportación,Número de productos exportados,3268
Chile,...,2016,...,Others,LPI Score,3.248442
Chile,...,,...,Others,Services Trade Restrictions Index - Over All,23.4
Chile,...,2019,...,Others,Trading Across Borders Rank,73
Chile,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0715218
Chile,...,2019,...,Others,Ease of Doing Business Rank,59
Chile,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),3543
Chile,...,2014,...,Others,No Of NTM Measures,56
Chile,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0715218
Chile,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.6051917672
Chile,...,2018,...,Others,Population,18729160
Chile,...,2016,...,Others,LPI Rank,46
Chile,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.1162340194
Chile,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,38.5772
Chile,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,15.7725
Chile,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.6453
Chile,"Corea, Rep. de",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.0975
Chile,Brasil,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.8397
