País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
China,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,577125.499929
China,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,349442.324674
China,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,165822.964565
China,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,148847.026749
China,Viet Nam,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,137904.87037
China,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,249876.612397
China,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,213445.079935
China,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,205523.714539
China,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,180971.932243
China,Australia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,163729.735808
China,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),37832.828799
China,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),73270.13104
China,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),1173092.048663
China,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),8530.523667
China,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),97792.341063
China,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1521909.665312
China,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),162917.221357
China,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),173949.150669
China,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),41679.081369
China,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),264363.928557
China,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),213399.147081
China,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1445623.424661
China,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),30462.547305
China,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),304896.146009
China,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),582656.568461999
China,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),14248.681208
China,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),52029.226179
China,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),47358.0233429999
China,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),34568.843128
China,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),406738.391347
China,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),528547.119435001
China,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),354764.184804
China,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),1022934.390511
China,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),764219.405635001
China,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),3362301.613439
China,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),2684362.678517
China,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1304744310.093
China,...,2021,...,Aranceles,N.o de acuerdos arancelarios,25
China,...,2021,...,Importación,Número de asociados importadores,215
China,...,2021,...,Importación,Número de productos importados,4391
China,...,2021,...,Exportación,Número de asociados exportadores,214
China,...,2021,...,Exportación,Número de productos exportados,4398
China,...,2016,...,Others,LPI Score,3.661104
China,...,,...,Others,Services Trade Restrictions Index - Over All,36.6
China,...,2019,...,Others,Trading Across Borders Rank,56
China,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0973663
China,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.888844728
China,...,2018,...,Others,Population,1392730000
China,...,2019,...,Others,Ease of Doing Business Rank,31
China,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),81
China,...,2013,...,Others,No Of NTM Measures,3
China,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1021822
China,...,2016,...,Others,LPI Rank,27
China,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,1.414180517
China,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,17.1646
China,Hong Kong (China),2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.3929
China,Japón,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9318
China,"Corea, Rep. de",2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.4269
China,Viet Nam,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.1015
China,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.3086
China,"Corea, Rep. de",2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.9514
China,Japón,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.6563
China,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.7417
China,Australia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.0994
China,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),0.906
China,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),9.0681
China,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),17.3291
China,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.2537
China,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),2.9085
China,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),45.2639
China,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),4.8454
China,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),5.1735
China,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),1.1252
China,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),2.1792
China,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),34.8896
China,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),0.4238
China,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.5474
China,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),1.4085
China,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),1.2396
China,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),7.8626
China,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),6.3468
China,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),42.9951
China,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),1.0281
China,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),12.097
China,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),13.216
