País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Côte d'Ivoire,Países Bajos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1244.52677181348
Côte d'Ivoire,Estados Unidos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,834.81724504
Côte d'Ivoire,Suiza,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,804.95606315
Côte d'Ivoire,Viet Nam,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,800.64230231
Côte d'Ivoire,Bélgica,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,678.05054316
Côte d'Ivoire,China,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1577.34815436
Côte d'Ivoire,Nigeria,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1375.03659467
Côte d'Ivoire,Francia,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1137.18948337
Côte d'Ivoire,India,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,539.48658145
Côte d'Ivoire,Estados Unidos,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,423.41952673
Côte d'Ivoire,Mundo,2020,Plástico o caucho,Exportación,Exportaciones (en millones de US $),1170.91179214
Côte d'Ivoire,Mundo,2020,Transporte,Exportación,Exportaciones (en millones de US $),57.37616596
Côte d'Ivoire,Mundo,2020,Productos químicos,Exportación,Exportaciones (en millones de US $),437.45762445
Côte d'Ivoire,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),83.37195333
Côte d'Ivoire,Mundo,2020,Minerales,Exportación,Exportaciones (en millones de US $),179.01528494
