País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Camerún,China,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,944.105048058744
Camerún,Italia,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,521.52009836531
Camerún,Países Bajos,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,369.533314433159
Camerún,Francia,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,265.307239764273
Camerún,España,2018,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,224.172119858297
Camerún,China,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1132.49201066144
Camerún,Francia,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,506.894430484922
Camerún,Nigeria,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,342.202129919636
Camerún,Países Bajos,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,296.29458546243
Camerún,Tailandia,2018,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,258.806201768292
Camerún,Mundo,2018,Productos alimenticios,Exportación,Exportaciones (en millones de US $),604.483666518554
Camerún,Mundo,2018,Calzado,Exportación,Exportaciones (en millones de US $),2.40125551273905
Camerún,Mundo,2018,Bienes de consumo,Exportación,Exportaciones (en millones de US $),469.781988248726
Camerún,Mundo,2018,Minerales,Exportación,Exportaciones (en millones de US $),7.47326183407355
Camerún,Mundo,2018,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),14.2895469577434
Camerún,Mundo,2018,Bienes de capital,Exportación,Exportaciones (en millones de US $),38.068928046226
Camerún,Mundo,2018,Combustibles,Exportación,Exportaciones (en millones de US $),1912.78299553497
Camerún,Mundo,2018,Metales,Exportación,Exportaciones (en millones de US $),177.479576016994
Camerún,Mundo,2018,Reino vegetal,Exportación,Exportaciones (en millones de US $),135.57308191289
Camerún,Mundo,2018,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),212.823588075971
Camerún,Mundo,2018,Bienes intermedios,Exportación,Exportaciones (en millones de US $),706.487632993597
Camerún,Mundo,2018,Reino animal,Exportación,Exportaciones (en millones de US $),8.28479945332775
Camerún,Mundo,2018,Madera,Exportación,Exportaciones (en millones de US $),555.690349973502
Camerún,Mundo,2018,Materias primas,Exportación,Exportaciones (en millones de US $),2590.43774243012
Camerún,Mundo,2018,Productos químicos,Exportación,Exportaciones (en millones de US $),72.0946182678863
Camerún,Mundo,2018,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),25.8846476000133
Camerún,Mundo,2018,Plástico o caucho,Exportación,Exportaciones (en millones de US $),61.6401923354446
Camerún,Mundo,2018,Transporte,Exportación,Exportaciones (en millones de US $),4.26602176124585
Camerún,Mundo,2018,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.26786463862225
Camerún,Mundo,2018,Varios,Exportación,Exportaciones (en millones de US $),9.356592510738
