País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Congo, Rep. del",China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1081.06200242
"Congo, Rep. del",Côte d'Ivoire,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,202.15754091
"Congo, Rep. del",Togo,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,177.81975572
"Congo, Rep. del",Camerún,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,127.01291722
"Congo, Rep. del",Gabón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,94.16952018
"Congo, Rep. del",China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,460.292385320001
"Congo, Rep. del",Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,293.00185643
"Congo, Rep. del",Bélgica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,211.33460384
"Congo, Rep. del",Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,104.48451749
"Congo, Rep. del",Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,97.6307148199999
"Congo, Rep. del",Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),3.12957074
"Congo, Rep. del",Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),64.08662797
"Congo, Rep. del",Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.24436844
"Congo, Rep. del",Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),14.41228562
"Congo, Rep. del",Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),13.07090432
"Congo, Rep. del",Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.2085813
"Congo, Rep. del",Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),356.08504128
"Congo, Rep. del",Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),4.79962973
"Congo, Rep. del",Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),343.61470817
"Congo, Rep. del",Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1252.35074803
"Congo, Rep. del",Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.66898699
"Congo, Rep. del",Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),475.76872123
"Congo, Rep. del",Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),1.52952317
"Congo, Rep. del",Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),2.73450465
