País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Islas Cook,Japón,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.836638
Islas Cook,China,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.458176
Islas Cook,Estados Unidos,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.189037
Islas Cook,Nueva Zelandia,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.136789
Islas Cook,Viet Nam,2011,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.122005
Islas Cook,Nueva Zelandia,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,84.292153
Islas Cook,Fiji,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10.922119
Islas Cook,Australia,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5.795345
Islas Cook,Estados Unidos,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2.460094
Islas Cook,Côte d'Ivoire,2011,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,0.830239
Islas Cook,Mundo,2011,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.49999
Islas Cook,Mundo,2011,Calzado,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.51389
Islas Cook,Mundo,2011,Combustibles,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Metales,Exportación,Exportaciones (en millones de US $),0.009875
Islas Cook,Mundo,2011,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.066596
Islas Cook,Mundo,2011,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.031777
Islas Cook,Mundo,2011,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3.2E-05
Islas Cook,Mundo,2011,Productos químicos,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Minerales,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.341935
Islas Cook,Mundo,2011,Bienes de capital,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Reino animal,Exportación,Exportaciones (en millones de US $),2.171119
Islas Cook,Mundo,2011,Madera,Exportación,Exportaciones (en millones de US $),0.000459
Islas Cook,Mundo,2011,Materias primas,Exportación,Exportaciones (en millones de US $),0.36787
Islas Cook,Mundo,2011,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.000332
Islas Cook,Mundo,2011,Transporte,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Cueros y pieles,Exportación,Exportaciones (en millones de US $),
Islas Cook,Mundo,2011,Varios,Exportación,Exportaciones (en millones de US $),0.002611
Islas Cook,Mundo,2011,Bienes intermedios,Importación,Importaciones (en millones de US $),5.752209
Islas Cook,Mundo,2011,Bienes de consumo,Importación,Importaciones (en millones de US $),43.097494
Islas Cook,Mundo,2011,Bienes de capital,Importación,Importaciones (en millones de US $),6.05947
Islas Cook,Mundo,2011,Materias primas,Importación,Importaciones (en millones de US $),5.263369
Islas Cook,Mundo,2011,Todos los productos,Exportación,Exportaciones (en millones de US $),3.124692
Islas Cook,Mundo,2011,Todos los productos,Importación,Importaciones (en millones de US $),109.316111
Islas Cook,Mundo,2010,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),82837.403
Islas Cook,...,2010,...,Aranceles,N.o de acuerdos arancelarios,1
Islas Cook,...,2011,...,Importación,Número de asociados importadores,41
Islas Cook,...,2011,...,Importación,Número de productos importados,690
Islas Cook,...,2011,...,Exportación,Número de asociados exportadores,22
Islas Cook,...,2011,...,Exportación,Número de productos exportados,13
Islas Cook,Japón,2011,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,58.7782
Islas Cook,China,2011,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,14.6631
