País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Colombia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11624.28949609
Colombia,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3660.96936825
Colombia,Panamá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2384.74370219
Colombia,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2238.80100905
Colombia,Brasil,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2049.07943702
Colombia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,14795.94632232
Colombia,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,14191.68150934
Colombia,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3800.48042188
Colombia,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3502.31704289
Colombia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2065.11619937
Colombia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1476.63630219
Colombia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),42.10855038
Colombia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),8968.58542299001
Colombia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),7289.2799589
Colombia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),810.97458247
Colombia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),9798.38283495002
Colombia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),196.36588258
Colombia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),3634.95673181
Colombia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1138.37518119
Colombia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),2046.6396211
Colombia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),996.26601919
Colombia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),19179.8462229
Colombia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1714.50052504
Colombia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),617.84082921
Colombia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),445.05431345
Colombia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),21473.78512719
Colombia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),130.47879245
Colombia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),321.97221958
Colombia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2086.68312103
Colombia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),400.38537531
Colombia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),18917.75851105
Colombia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),15991.83289941
Colombia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),4993.31855276
Colombia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),20542.23978911
Colombia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),41389.98904759
Colombia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),61098.58956005
Colombia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),39802834.72945
Colombia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,68
Colombia,...,2021,...,Importación,Número de asociados importadores,197
Colombia,...,2021,...,Importación,Número de productos importados,4184
Colombia,...,2021,...,Exportación,Número de asociados exportadores,178
Colombia,...,2021,...,Exportación,Número de productos exportados,3409
Colombia,...,2016,...,Others,LPI Score,2.612351
Colombia,...,2019,...,Others,Ease of Doing Business Rank,67
Colombia,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),4024
Colombia,...,2014,...,Others,No Of NTM Measures,68
Colombia,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2292567
Colombia,...,,...,Others,Services Trade Restrictions Index - Over All,18.3
Colombia,...,2019,...,Others,Trading Across Borders Rank,133
Colombia,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2053517
Colombia,...,2013,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.182856917
Colombia,...,2018,...,Others,Population,49648685
Colombia,...,2016,...,Others,LPI Rank,94
Colombia,...,2013,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.5811700821
Colombia,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,28.0848
Colombia,China,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.8451
Colombia,Panamá,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.7616
Colombia,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.409
Colombia,Brasil,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,4.9507
Colombia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,24.2165
Colombia,Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,23.2275
Colombia,México,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,6.2202
Colombia,Brasil,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.7322
Colombia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,3.38
Colombia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),17.6112
Colombia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),1.9593
Colombia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),23.6733
Colombia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),3.5676
Colombia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1017
Colombia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),21.6685
Colombia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),5.0415
Colombia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.9673
Colombia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.4744
Colombia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),8.7822
Colombia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),2.7504
Colombia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.3152
Colombia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.7779
Colombia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),1.4927
Colombia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),1.0753
Colombia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),51.8816
Colombia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),4.9448
Colombia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),2.407
Colombia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),46.3393
Colombia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),4.1423
Colombia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),33.6215
Colombia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),26.1738
Colombia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),30.9627
Colombia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),8.1726
Colombia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.22025928759453
Colombia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),5.48356961767271
Colombia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),1.38896234118059
Colombia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),3.19940052586457
Colombia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Colombia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),14.8601128892394
Colombia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),3.18793049999765
Colombia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.57827097492262
Colombia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),80
Colombia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),75.4031614991322
Colombia,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,6.60813819217539
Colombia,...,2021,...,Trade Indicator,Índice de HH sobre concentración económica de un mercado,0.114091187591551
