País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Comoras,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8.64374494
Comoras,Tanzanía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7.46748344
Comoras,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.95051279
Comoras,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.9624248
Comoras,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.6507578
Comoras,Emiratos Árabes Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,192.35360471
Comoras,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,46.61493331
Comoras,Pakistán,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,31.82972192
Comoras,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,28.27681301
Comoras,India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19.067287
Comoras,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),18.50399408
Comoras,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.04180903
Comoras,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),6.80196547
Comoras,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.01074857
Comoras,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),0.49976658
Comoras,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.04652358
Comoras,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),3.5579489
Comoras,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),6.50295126
Comoras,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),2.41983504
Comoras,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),4.811E-05
Comoras,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),0.00272773
Comoras,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2.27875662
