País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Cabo Verde,España,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,33.4603301685933
Cabo Verde,Portugal,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,8.03431415351066
Cabo Verde,Italia,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.18247819341705
Cabo Verde,Estados Unidos,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.979298590005
Cabo Verde,Alemania,2020,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.33105980232674
Cabo Verde,Portugal,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,474.330301890853
Cabo Verde,Países Bajos,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,182.990224617257
Cabo Verde,España,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,95.5001362621657
Cabo Verde,Italia,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,72.34079533858
Cabo Verde,China,2020,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,69.0749310019123
Cabo Verde,Mundo,2020,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.13984533674011
Cabo Verde,Mundo,2020,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3.99020520675352
Cabo Verde,Mundo,2020,Bienes intermedios,Exportación,Exportaciones (en millones de US $),4.25363990121844
Cabo Verde,Mundo,2020,Minerales,Exportación,Exportaciones (en millones de US $),0.00047783079956
Cabo Verde,Mundo,2020,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),5.165515E-05
Cabo Verde,Mundo,2020,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.33445805659875
Cabo Verde,Mundo,2020,Productos químicos,Exportación,Exportaciones (en millones de US $),0.10556195831953
Cabo Verde,Mundo,2020,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.11829527305646
Cabo Verde,Mundo,2020,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.00122939257
Cabo Verde,Mundo,2020,Varios,Exportación,Exportaciones (en millones de US $),1.1374266707327
Cabo Verde,Mundo,2020,Plástico o caucho,Exportación,Exportaciones (en millones de US $),
Cabo Verde,Mundo,2020,Transporte,Exportación,Exportaciones (en millones de US $),0.17524480732468
Cabo Verde,Mundo,2020,Reino animal,Exportación,Exportaciones (en millones de US $),8.96907625456817
Cabo Verde,Mundo,2020,Madera,Exportación,Exportaciones (en millones de US $),0.00203756838484
Cabo Verde,Mundo,2020,Materias primas,Exportación,Exportaciones (en millones de US $),8.90681167397173
Cabo Verde,Mundo,2020,Productos alimenticios,Exportación,Exportaciones (en millones de US $),35.7814012530112
Cabo Verde,Mundo,2020,Calzado,Exportación,Exportaciones (en millones de US $),2.66396423072204
Cabo Verde,Mundo,2020,Bienes de consumo,Exportación,Exportaciones (en millones de US $),39.5958837596543
Cabo Verde,Mundo,2020,Combustibles,Exportación,Exportaciones (en millones de US $),
Cabo Verde,Mundo,2020,Metales,Exportación,Exportaciones (en millones de US $),0.00597595331041
Cabo Verde,Mundo,2020,Bienes de consumo,Importación,Importaciones (en millones de US $),693.109134708312
Cabo Verde,Mundo,2020,Bienes de capital,Importación,Importaciones (en millones de US $),194.557471204489
Cabo Verde,Mundo,2020,Materias primas,Importación,Importaciones (en millones de US $),89.966276414726
Cabo Verde,Mundo,2020,Bienes intermedios,Importación,Importaciones (en millones de US $),153.741528640178
Cabo Verde,Mundo,2020,Todos los productos,Exportación,Exportaciones (en millones de US $),53.0907933914432
Cabo Verde,Mundo,2020,Todos los productos,Importación,Importaciones (en millones de US $),1131.39915538586
Cabo Verde,Mundo,2020,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),198637.15295
Cabo Verde,...,2020,...,Aranceles,N.o de acuerdos arancelarios,2
Cabo Verde,...,2020,...,Importación,Número de asociados importadores,107
Cabo Verde,...,2020,...,Importación,Número de productos importados,3179
Cabo Verde,...,2020,...,Exportación,Número de asociados exportadores,13
Cabo Verde,...,2020,...,Exportación,Número de productos exportados,105
Cabo Verde,...,2018,...,Others,Population,543767
Cabo Verde,...,2018,...,Others,CPIA Trade Ratings,4.5
Cabo Verde,...,2019,...,Others,Ease of Doing Business Rank,137
Cabo Verde,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Cabo Verde,...,2014,...,Others,No Of NTM Measures,44
Cabo Verde,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1016876
Cabo Verde,...,2019,...,Others,Trading Across Borders Rank,109
Cabo Verde,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1016876
Cabo Verde,España,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,63.0247
Cabo Verde,Portugal,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,15.1332
Cabo Verde,Italia,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.6451
Cabo Verde,Estados Unidos,2020,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.6117
