País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Costa Rica,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6269.77200204
Costa Rica,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1036.71562563
Costa Rica,Bélgica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,748.48740341
Costa Rica,Guatemala,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,701.07004747
Costa Rica,Panamá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,582.80171798
Costa Rica,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6957.32095507002
Costa Rica,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2937.92095872
Costa Rica,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1183.21630346
Costa Rica,Guatemala,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,500.39906525
Costa Rica,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,417.410355019999
Costa Rica,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1721.83438034
Costa Rica,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),2.20036157
Costa Rica,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),3712.75686844
Costa Rica,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3330.26810789
Costa Rica,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),124.29207974
Costa Rica,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),2243.12698439
Costa Rica,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),39.89770009
Costa Rica,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),225.288608
Costa Rica,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),4853.11971458
Costa Rica,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3.10053518
Costa Rica,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),663.16239135
Costa Rica,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),694.13043457
Costa Rica,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),727.53487563
Costa Rica,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),15.83693654
Costa Rica,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),5271.28819178
Costa Rica,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),787.62684697
Costa Rica,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),23.79762707
Costa Rica,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),391.12652187
Costa Rica,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),324.00996663
Costa Rica,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),3536.39080156
Costa Rica,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),4707.83605523
Costa Rica,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),8331.58963584
Costa Rica,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),4164.48636398
Costa Rica,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1224.08139509
Costa Rica,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),14345.39556522
Costa Rica,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),18428.11384058
Costa Rica,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),10589986.65891
Costa Rica,...,2021,...,Aranceles,N.o de acuerdos arancelarios,25
Costa Rica,...,2021,...,Importación,Número de asociados importadores,201
Costa Rica,...,2021,...,Importación,Número de productos importados,4046
Costa Rica,...,2021,...,Exportación,Número de asociados exportadores,149
Costa Rica,...,2021,...,Exportación,Número de productos exportados,2947
