País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Cuba,No especificados ,2006,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1871.030461
Cuba,Venezuela,2006,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,382.03199
Cuba,España,2006,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,123.410713
Cuba,Federación de Rusia,2006,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,94.575196
Cuba,Bolivia,2006,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,47.399039
Cuba,No especificados ,2006,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3729.170292
Cuba,China,2006,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1362.404556
Cuba,España,2006,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,779.621521
Cuba,Alemania,2006,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,575.416239
Cuba,Estados Unidos,2006,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,453.302019
Cuba,Mundo,2006,Reino vegetal,Exportación,Exportaciones (en millones de US $),10.416674
Cuba,Mundo,2006,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.510114
Cuba,Mundo,2006,Bienes intermedios,Exportación,Exportaciones (en millones de US $),161.934809
Cuba,Mundo,2006,Reino animal,Exportación,Exportaciones (en millones de US $),68.053448
Cuba,Mundo,2006,Madera,Exportación,Exportaciones (en millones de US $),13.956652
Cuba,Mundo,2006,Materias primas,Exportación,Exportaciones (en millones de US $),139.73938
Cuba,Mundo,2006,Minerales,Exportación,Exportaciones (en millones de US $),40.174894
Cuba,Mundo,2006,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.957163
Cuba,Mundo,2006,Bienes de capital,Exportación,Exportaciones (en millones de US $),260.067552
Cuba,Mundo,2006,Combustibles,Exportación,Exportaciones (en millones de US $),0.008205
Cuba,Mundo,2006,Metales,Exportación,Exportaciones (en millones de US $),105.447142
Cuba,Mundo,2006,Productos químicos,Exportación,Exportaciones (en millones de US $),301.607814
Cuba,Mundo,2006,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),103.342427
Cuba,Mundo,2006,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2.192199
Cuba,Mundo,2006,Transporte,Exportación,Exportaciones (en millones de US $),97.735493
Cuba,Mundo,2006,Cueros y pieles,Exportación,Exportaciones (en millones de US $),1.86854
Cuba,Mundo,2006,Varios,Exportación,Exportaciones (en millones de US $),1991.364458
Cuba,Mundo,2006,Productos alimenticios,Exportación,Exportaciones (en millones de US $),241.110862
Cuba,Mundo,2006,Calzado,Exportación,Exportaciones (en millones de US $),0.405656
Cuba,Mundo,2006,Bienes de consumo,Exportación,Exportaciones (en millones de US $),547.568725999999
Cuba,Mundo,2006,Bienes de consumo,Importación,Importaciones (en millones de US $),2025.233437
Cuba,Mundo,2006,Bienes intermedios,Importación,Importaciones (en millones de US $),1266.720493
Cuba,Mundo,2006,Materias primas,Importación,Importaciones (en millones de US $),534.722087000001
Cuba,Mundo,2006,Bienes de capital,Importación,Importaciones (en millones de US $),2617.115335
Cuba,Mundo,2006,Todos los productos,Exportación,Exportaciones (en millones de US $),2980.151743
Cuba,Mundo,2006,Todos los productos,Importación,Importaciones (en millones de US $),10173.591459
Cuba,Mundo,2006,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),771879.61
Cuba,...,2006,...,Aranceles,N.o de acuerdos arancelarios,17
Cuba,...,2006,...,Importación,Número de asociados importadores,155
Cuba,...,2006,...,Importación,Número de productos importados,3873
Cuba,...,2006,...,Exportación,Número de asociados exportadores,114
Cuba,...,2006,...,Exportación,Número de productos exportados,1148
Cuba,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0507038
Cuba,...,2018,...,Others,Population,11338138
Cuba,...,2016,...,Others,LPI Score,2.346459
Cuba,...,2016,...,Others,LPI Rank,131
Cuba,...,2014,...,Others,No Of NTM Affected Products (HS 6 Digit),4810
Cuba,...,2014,...,Others,No Of NTM Measures,22
Cuba,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0552874
Cuba,No especificados ,2006,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,62.7831
