País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Islas Caimán,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,13.2847957050848
Islas Caimán,Jamaica,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2.23462323489135
Islas Caimán,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.56284229181575
Islas Caimán,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1253.41919197421
Islas Caimán,Jamaica,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,51.8880136031558
Islas Caimán,Reino Unido,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,38.0601979834975
Islas Caimán,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19.3524942550568
Islas Caimán,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,19.2778883842002
Islas Caimán,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.0010857405239
Islas Caimán,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),2.56942964591225
Islas Caimán,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),0.0282001175
Islas Caimán,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.2559283543637
Islas Caimán,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),8.91550085576545
Islas Caimán,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),0.71384657834835
Islas Caimán,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.19974972428705
Islas Caimán,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1.27348028614575
Islas Caimán,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1.31802658375455
Islas Caimán,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),7.99085298708205
Islas Caimán,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.295559311492
Islas Caimán,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),0.0030379566581
Islas Caimán,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),2.54118767223785
Islas Caimán,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.1630839435136
Islas Caimán,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),0.1088101653738
