País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Chipre,Líbano,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,337.658689575237
Chipre,Grecia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,307.732219556714
Chipre,Islas Marshall,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,297.143828002443
Chipre,Isla Bunker,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,261.116432191068
Chipre,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,250.354103298587
Chipre,Grecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2455.72062697997
Chipre,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1045.21150803222
Chipre,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,637.499979209814
Chipre,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,527.146741142039
Chipre,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,509.866048908954
Chipre,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),129.672338281013
Chipre,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),10.5250120492792
Chipre,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),2108.00554953834
Chipre,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),21.5508223660991
Chipre,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),27.0538362672966
Chipre,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),1289.98442893979
Chipre,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),637.277618117832
Chipre,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),251.849583801358
Chipre,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),36.6952798025096
Chipre,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1361.01602955487
Chipre,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),89.3595419764804
Chipre,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),18.703599790433
