País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
República Checa,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,73620.759111
República Checa,República Eslovaca,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,18298.003616
República Checa,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,15288.845363
República Checa,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10469.075294
República Checa,Austria,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,10136.04981
República Checa,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,46932.18153
República Checa,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,35084.744217
República Checa,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,17308.253731
República Checa,República Eslovaca,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9430.84772
República Checa,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8969.599197
República Checa,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),5047.248241
República Checa,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),20296.83706
República Checa,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),351.198517
República Checa,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),4945.274271
República Checa,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),99231.0026929999
República Checa,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2794.980187
República Checa,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),5880.93376
República Checa,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),34170.04417
República Checa,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),12863.94087
República Checa,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),42651.270355
República Checa,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),5767.803354
República Checa,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),1256.161601
República Checa,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),85230.450659
República Checa,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),12190.456779
República Checa,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),85266.691463
República Checa,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),486.016069
República Checa,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),17025.402374
República Checa,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),1915.764498
República Checa,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),8428.431623
República Checa,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),8134.826576
República Checa,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),66452.714825
República Checa,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),90104.115723
República Checa,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),11995.143686
República Checa,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),43820.9868210001
República Checa,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),227168.411022
