País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Alemania,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,144604.026224551
Alemania,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,123585.271090828
Alemania,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,121000.352306048
Alemania,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,108856.278817801
Alemania,Polonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,92311.1145345435
Alemania,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,170640.079042259
Alemania,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,106763.470737483
Alemania,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,86798.9952931947
Alemania,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,81518.3077760991
Alemania,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,77221.2464357397
Alemania,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),23038.269901317
Alemania,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),43738.1734612387
Alemania,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),45953.6613080643
Alemania,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),5887.0173518405
Alemania,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),40245.8678822343
Alemania,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),619053.373905197
Alemania,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),50201.2320709926
Alemania,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),10726.9932077766
Alemania,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),564669.982984003
Alemania,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),43300.1182418154
Alemania,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),126890.046308378
