País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Djibouti,Etiopía (excluida Eritrea),2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,128.55501
Djibouti,Francia,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,73.029488
Djibouti,Somalia,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,43.157044
Djibouti,Brasil,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,31.52615
Djibouti,Qatar,2009,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22.882962
Djibouti,Francia,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,197.54463
Djibouti,Emiratos Árabes Unidos,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,119.667993
Djibouti,Arabia Saudita,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,38.700712
Djibouti,Japón,2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,35.408463
Djibouti,Etiopía (excluida Eritrea),2009,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,32.474367
Djibouti,Mundo,2009,Productos químicos,Exportación,Exportaciones (en millones de US $),4.951668
Djibouti,Mundo,2009,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),67.699492
Djibouti,Mundo,2009,Productos alimenticios,Exportación,Exportaciones (en millones de US $),30.365017
Djibouti,Mundo,2009,Calzado,Exportación,Exportaciones (en millones de US $),0.029321
Djibouti,Mundo,2009,Bienes de consumo,Exportación,Exportaciones (en millones de US $),109.734015
Djibouti,Mundo,2009,Reino vegetal,Exportación,Exportaciones (en millones de US $),24.685188
Djibouti,Mundo,2009,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),1.043391
Djibouti,Mundo,2009,Bienes intermedios,Exportación,Exportaciones (en millones de US $),52.148401
Djibouti,Mundo,2009,Plástico o caucho,Exportación,Exportaciones (en millones de US $),54.179066
Djibouti,Mundo,2009,Transporte,Exportación,Exportaciones (en millones de US $),109.496786
Djibouti,Mundo,2009,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.058024
Djibouti,Mundo,2009,Varios,Exportación,Exportaciones (en millones de US $),14.74673
Djibouti,Mundo,2009,Reino animal,Exportación,Exportaciones (en millones de US $),29.440342
Djibouti,Mundo,2009,Madera,Exportación,Exportaciones (en millones de US $),1.617269
Djibouti,Mundo,2009,Materias primas,Exportación,Exportaciones (en millones de US $),9.626353
Djibouti,Mundo,2009,Minerales,Exportación,Exportaciones (en millones de US $),12.92946
Djibouti,Mundo,2009,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.37379
Djibouti,Mundo,2009,Bienes de capital,Exportación,Exportaciones (en millones de US $),190.224628
Djibouti,Mundo,2009,Combustibles,Exportación,Exportaciones (en millones de US $),10.525036
Djibouti,Mundo,2009,Metales,Exportación,Exportaciones (en millones de US $),1.568256
Djibouti,Mundo,2009,Bienes intermedios,Importación,Importaciones (en millones de US $),100.745165
Djibouti,Mundo,2009,Bienes de consumo,Importación,Importaciones (en millones de US $),333.386059
Djibouti,Mundo,2009,Materias primas,Importación,Importaciones (en millones de US $),41.765677
Djibouti,Mundo,2009,Bienes de capital,Importación,Importaciones (en millones de US $),169.441075
Djibouti,Mundo,2009,Todos los productos,Exportación,Exportaciones (en millones de US $),363.708835
Djibouti,Mundo,2009,Todos los productos,Importación,Importaciones (en millones de US $),647.615351
Djibouti,Mundo,2009,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),10080.015
Djibouti,...,2009,...,Aranceles,N.o de acuerdos arancelarios,1
Djibouti,...,2009,...,Importación,Número de asociados importadores,84
Djibouti,...,2009,...,Importación,Número de productos importados,1600
Djibouti,...,2009,...,Exportación,Número de asociados exportadores,53
Djibouti,...,2009,...,Exportación,Número de productos exportados,312
Djibouti,...,2018,...,Others,CPIA Trade Ratings,4
Djibouti,...,2016,...,Others,LPI Score,2.32254
Djibouti,...,2016,...,Others,LPI Rank,134
Djibouti,...,2019,...,Others,Ease of Doing Business Rank,112
Djibouti,...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1576124
Djibouti,...,2019,...,Others,Trading Across Borders Rank,147
Djibouti,...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1576124
Djibouti,...,2018,...,Others,Population,958920
Djibouti,Etiopía (excluida Eritrea),2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,35.3456
Djibouti,Francia,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,20.0791
Djibouti,Somalia,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.8658
Djibouti,Brasil,2009,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.668
