País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Dominica,Trinidad y Tobago,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.941986
Dominica,Jamaica,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6.007212
Dominica,Saint Kitts y Nevis,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5.30933
Dominica,Guyana,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.523418
Dominica,Francia,2012,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3.244555
Dominica,Estados Unidos,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,77.878134
Dominica,Trinidad y Tobago,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,35.989432
Dominica,No especificados ,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,18.244103
Dominica,Reino Unido,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8.393831
Dominica,China,2012,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5.130573
Dominica,Mundo,2012,Reino vegetal,Exportación,Exportaciones (en millones de US $),3.311133
Dominica,Mundo,2012,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.157603
Dominica,Mundo,2012,Bienes intermedios,Exportación,Exportaciones (en millones de US $),0.727821
Dominica,Mundo,2012,Combustibles,Exportación,Exportaciones (en millones de US $),0.003767
Dominica,Mundo,2012,Metales,Exportación,Exportaciones (en millones de US $),0.54241
Dominica,Mundo,2012,Minerales,Exportación,Exportaciones (en millones de US $),3.474559
Dominica,Mundo,2012,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.394617
Dominica,Mundo,2012,Bienes de capital,Exportación,Exportaciones (en millones de US $),4.378276
Dominica,Mundo,2012,Productos químicos,Exportación,Exportaciones (en millones de US $),18.807679
Dominica,Mundo,2012,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),4.134989
Dominica,Mundo,2012,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.861506
