País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Dinamarca,Categorías especiales,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,22800.4413409503
Dinamarca,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,16167.6901965114
Dinamarca,Suecia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,11630.3942080503
Dinamarca,Noruega,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,7165.77713610679
Dinamarca,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6285.1902782506
Dinamarca,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,25133.1943226729
Dinamarca,Suecia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,15384.7591962502
Dinamarca,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10029.8304410751
Dinamarca,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,9802.66567026811
Dinamarca,Polonia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5338.771862082
Dinamarca,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),29029.5119846831
Dinamarca,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),26130.6143140049
Dinamarca,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),848.858463759614
Dinamarca,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),11300.323280761
Dinamarca,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),3676.06291577447
Dinamarca,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),5117.31804454443
Dinamarca,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),7656.20898636628
Dinamarca,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),667.825552501145
Dinamarca,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),42080.7477753516
Dinamarca,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3650.10015150756
Dinamarca,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),6800.50723477595
Dinamarca,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),22059.9244600809
