País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
República Dominicana,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6517.724679816
República Dominicana,Suiza,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,961.447631445
República Dominicana,Haití,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,954.690620858
República Dominicana,India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,667.114093801
República Dominicana,Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,415.584820267
República Dominicana,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,12488.837123522
República Dominicana,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3873.57299343
República Dominicana,México,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,946.715090443
República Dominicana,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,875.15600663
República Dominicana,España,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,744.342852649
República Dominicana,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),534.121740779
República Dominicana,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1317.476990892
República Dominicana,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),626.803868435
República Dominicana,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),894.535563485
República Dominicana,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),3431.022776914
República Dominicana,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),769.685624065
República Dominicana,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),25.44577969
República Dominicana,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),25.894311629
República Dominicana,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),1350.13873695
República Dominicana,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),142.055430892
República Dominicana,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2507.957699338
República Dominicana,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),2439.77392306
República Dominicana,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2060.589848458
República Dominicana,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),216.826297751
República Dominicana,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),4638.06590474
República Dominicana,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),20.193135552
República Dominicana,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),160.262007932
República Dominicana,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1134.347553617
República Dominicana,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),89.472869613
República Dominicana,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),901.760098734
República Dominicana,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),12249.836453111
República Dominicana,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),8045.29150867299
República Dominicana,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),4286.439178933
República Dominicana,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),2985.564022327
República Dominicana,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),11643.22000419
República Dominicana,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),24186.670739513
República Dominicana,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),16385480.8282186
República Dominicana,...,2021,...,Aranceles,N.o de acuerdos arancelarios,7
República Dominicana,...,2021,...,Importación,Número de asociados importadores,189
República Dominicana,...,2021,...,Importación,Número de productos importados,3888
República Dominicana,...,2021,...,Exportación,Número de asociados exportadores,138
República Dominicana,...,2021,...,Exportación,Número de productos exportados,2845
República Dominicana,...,2019,...,Others,Trading Across Borders Rank,66
República Dominicana,...,2018,...,Others,Population,10627165
República Dominicana,...,2016,...,Others,LPI Score,2.62728
República Dominicana,...,2019,...,Others,Ease of Doing Business Rank,115
República Dominicana,...,2013,...,Others,No Of NTM Affected Products (HS 6 Digit),3
República Dominicana,...,2013,...,Others,No Of NTM Measures,2
República Dominicana,...,2016,...,Others,LPI Rank,91
República Dominicana,...,,...,Others,Services Trade Restrictions Index - Over All,12.3
República Dominicana,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,55.9787
República Dominicana,Suiza,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.2576
República Dominicana,Haití,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.1995
República Dominicana,India,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,5.7296
