País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Argelia,Italia,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,5629.47966615
Argelia,Francia,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4431.26165651
Argelia,España,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4103.37076376
Argelia,Estados Unidos,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3467.90616812
Argelia,Brasil,2017,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2127.96268383
Argelia,China,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,8317.84390420001
Argelia,Francia,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4297.50776038
Argelia,Italia,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3754.996554
Argelia,Alemania,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3223.25495852
Argelia,España,2017,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3130.60144291
Argelia,Mundo,2017,Productos químicos,Exportación,Exportaciones (en millones de US $),778.72054369
Argelia,Mundo,2017,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),56.60214296
Argelia,Mundo,2017,Cueros y pieles,Exportación,Exportaciones (en millones de US $),14.32208518
Argelia,Mundo,2017,Varios,Exportación,Exportaciones (en millones de US $),2.13953681
Argelia,Mundo,2017,Reino vegetal,Exportación,Exportaciones (en millones de US $),80.56130094
Argelia,Mundo,2017,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),4.03661696
Argelia,Mundo,2017,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1424.60997821
Argelia,Mundo,2017,Reino animal,Exportación,Exportaciones (en millones de US $),8.61995258
Argelia,Mundo,2017,Madera,Exportación,Exportaciones (en millones de US $),28.08805116
Argelia,Mundo,2017,Materias primas,Exportación,Exportaciones (en millones de US $),12867.54319081
Argelia,Mundo,2017,Plástico o caucho,Exportación,Exportaciones (en millones de US $),4.07075024
Argelia,Mundo,2017,Transporte,Exportación,Exportaciones (en millones de US $),21.05720426
Argelia,Mundo,2017,Productos alimenticios,Exportación,Exportaciones (en millones de US $),263.4613986
Argelia,Mundo,2017,Calzado,Exportación,Exportaciones (en millones de US $),0.07638781
Argelia,Mundo,2017,Bienes de consumo,Exportación,Exportaciones (en millones de US $),20863.94043469
Argelia,Mundo,2017,Minerales,Exportación,Exportaciones (en millones de US $),58.32345069
