País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1149440.83847389
,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1122462.10111447
,Hong Kong (China),2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,543399.207639787
,Japón,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,358186.853018245
,"Corea, Rep. de",2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,304398.022950993
,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1277327.82928848
,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,509418.345268027
,"Otra zona de Asia, no esp.",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,495554.096062074
,Japón,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,444161.653819404
,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,420303.658048438
,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),346667.089931945
,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),516756.132029636
,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),126595.04057282
,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),106493.053048398
,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),2176483.05831371
,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),165071.055698491
,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),423529.852232413
,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1400291.50743998
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),373833.031872463
,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),483474.399820516
,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),471712.16492093
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),3127823.63240846
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),51075.1038758941
,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),736773.358295377
,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),164880.976157888
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),275107.411984444
,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),3396523.21758706
,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),73919.2390276257
,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),105190.832650866
,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),442697.495679137
,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),1377444.02652996
,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),1340701.31621354
