País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1032155.83118789
,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,626506.754264971
,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,533237.662804427
,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,416658.937890017
,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,416058.198507319
,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1050571.3169978
,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,849190.248144432
,Países Bajos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,468445.363627089
,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,424656.060986571
,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,397538.654646585
,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1219751.99108671
,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),1623505.73169548
,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),403369.405989022
,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),917845.724489336
,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),48941.0026697645
,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),775484.569659011
,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),67569.593781586
,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),403217.29213231
