País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Ecuador,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,6402.858058026
Ecuador,China,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,4074.884603531
Ecuador,Panamá,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3969.541807679
Ecuador,Chile,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1120.473064005
Ecuador,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,999.795919049
Ecuador,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6036.902970352
Ecuador,Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5668.124461965
Ecuador,Colombia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1791.87045105
Ecuador,Brasil,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,994.904056796001
Ecuador,"Corea, Rep. de",2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,914.652599587
Ecuador,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),8619.981016065
Ecuador,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),507.951176255
Ecuador,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),2993.194818756
Ecuador,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),41.195305068
Ecuador,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),4966.016309973
Ecuador,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),1545.5941488
Ecuador,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),659.399849015
Ecuador,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),158.040684042
Ecuador,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),253.094366993
Ecuador,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),37.512841423
Ecuador,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),119.022536233
Ecuador,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),156.121237363
Ecuador,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),13.263540925
Ecuador,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),66.351909391
Ecuador,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),5720.376689483
Ecuador,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),651.023021918
Ecuador,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),19589.241314778
