País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
"Egipto, Rep. Árabe de",No especificados ,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2714.7037862207
"Egipto, Rep. Árabe de",Turquía,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2647.31849034324
"Egipto, Rep. Árabe de",Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2579.53925738721
"Egipto, Rep. Árabe de",India,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2327.32046844807
"Egipto, Rep. Árabe de",Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2159.15440500293
"Egipto, Rep. Árabe de",China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,10009.6148862732
"Egipto, Rep. Árabe de",No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,7627.69951813641
"Egipto, Rep. Árabe de",Arabia Saudita,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,6251.33936903541
"Egipto, Rep. Árabe de",Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,5105.39109258777
"Egipto, Rep. Árabe de",Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,3297.0703711885
"Egipto, Rep. Árabe de",Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),744.711160018014
"Egipto, Rep. Árabe de",Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),2444.07531478753
"Egipto, Rep. Árabe de",Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),978.375563459728
"Egipto, Rep. Árabe de",Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),2804.92746147467
"Egipto, Rep. Árabe de",Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),172.370279569446
"Egipto, Rep. Árabe de",Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),79.4624683960072
"Egipto, Rep. Árabe de",Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),418.140774593784
"Egipto, Rep. Árabe de",Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),3880.02739772886
"Egipto, Rep. Árabe de",Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),3833.70687113044
"Egipto, Rep. Árabe de",Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),12037.0972363859
"Egipto, Rep. Árabe de",Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),348.375437912104
"Egipto, Rep. Árabe de",Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),876.004808812683
"Egipto, Rep. Árabe de",Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),6618.99363005411
"Egipto, Rep. Árabe de",Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),1875.83208228634
