País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Eritrea,Ex Sudán,2003,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1.292275
Eritrea,Singapur,2003,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.82012
Eritrea,Italia,2003,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.7685
Eritrea,Países Bajos,2003,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.688952
Eritrea,India,2003,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,0.478329
Eritrea,Estados Unidos,2003,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,68.954703
Eritrea,Emiratos Árabes Unidos,2003,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,53.026542
Eritrea,Italia,2003,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,50.141245
Eritrea,Arabia Saudita,2003,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,45.502906
Eritrea,India,2003,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,27.127185
Eritrea,Mundo,2003,Reino vegetal,Exportación,Exportaciones (en millones de US $),1.39241
Eritrea,Mundo,2003,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),0.582134
Eritrea,Mundo,2003,Bienes intermedios,Exportación,Exportaciones (en millones de US $),1.843643
Eritrea,Mundo,2003,Minerales,Exportación,Exportaciones (en millones de US $),0.017181
Eritrea,Mundo,2003,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),0.013148
Eritrea,Mundo,2003,Bienes de capital,Exportación,Exportaciones (en millones de US $),0.050335
Eritrea,Mundo,2003,Plástico o caucho,Exportación,Exportaciones (en millones de US $),0.182561
Eritrea,Mundo,2003,Transporte,Exportación,Exportaciones (en millones de US $),0.193667
Eritrea,Mundo,2003,Combustibles,Exportación,Exportaciones (en millones de US $),
Eritrea,Mundo,2003,Metales,Exportación,Exportaciones (en millones de US $),0.18459
Eritrea,Mundo,2003,Productos químicos,Exportación,Exportaciones (en millones de US $),0.074847
Eritrea,Mundo,2003,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),0.049743
Eritrea,Mundo,2003,Productos alimenticios,Exportación,Exportaciones (en millones de US $),0.161744
Eritrea,Mundo,2003,Calzado,Exportación,Exportaciones (en millones de US $),0.091804
Eritrea,Mundo,2003,Bienes de consumo,Exportación,Exportaciones (en millones de US $),0.665486
Eritrea,Mundo,2003,Cueros y pieles,Exportación,Exportaciones (en millones de US $),0.953106
Eritrea,Mundo,2003,Varios,Exportación,Exportaciones (en millones de US $),0.447855
Eritrea,Mundo,2003,Reino animal,Exportación,Exportaciones (en millones de US $),2.267446
Eritrea,Mundo,2003,Madera,Exportación,Exportaciones (en millones de US $),0.006518
Eritrea,Mundo,2003,Materias primas,Exportación,Exportaciones (en millones de US $),4.059291
Eritrea,Mundo,2003,Bienes de consumo,Importación,Importaciones (en millones de US $),126.811558
Eritrea,Mundo,2003,Bienes intermedios,Importación,Importaciones (en millones de US $),112.154658
