País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
España,Francia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,59692.0844350433
España,Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,38320.4614175628
España,Italia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,31421.6389149818
España,Portugal,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,29415.9930897437
España,Reino Unido,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,21704.4739998668
España,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,45267.7719280454
España,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,41200.3480608762
España,Francia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,40390.8374159375
España,Italia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,26751.950427262
España,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,25277.0684911379
España,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),17273.8711629973
España,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),9525.19863729744
España,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),45253.7721065863
España,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),3878.97693381886
España,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),12633.3059817628
España,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),68730.8640247849
España,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),21252.2721239949
España,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),3441.37622444991
España,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),159829.486204297
España,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),47743.9150725269
España,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),44864.6264198756
España,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),2235.73652698148
España,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),36494.2235882561
España,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),20498.7881881224
España,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),61974.3808305522
España,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),31600.4977910333
España,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),20677.1119309316
España,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),93746.0688687711
España,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),23137.9311950179
España,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),34326.3068690517
España,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),65745.7903937521
España,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),100765.367941511
España,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),144237.744718678
España,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),94165.2831189394
España,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),391558.51947667
España,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),426059.816727044
España,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),140408724.492498
España,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
España,...,2021,...,Importación,Número de asociados importadores,232
España,...,2021,...,Importación,Número de productos importados,4534
España,...,2021,...,Exportación,Número de asociados exportadores,231
España,...,2021,...,Exportación,Número de productos exportados,4497
España,...,2019,...,Others,Ease of Doing Business Rank,30
España,...,2019,...,Others,Trading Across Borders Rank,1
España,...,2018,...,Others,Population,46723749
España,...,2016,...,Others,LPI Score,3.727412
España,...,2016,...,Others,LPI Rank,23
España,...,,...,Others,Services Trade Restrictions Index - Over All,16.1
