País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Estonia,Finlandia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,3090.10730833
Estonia,Letonia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,2157.82965674
Estonia,Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1993.70322421
Estonia,Suecia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1972.94337089
Estonia,Federación de Rusia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,1425.92592674
Estonia,Federación de Rusia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2773.25906339
Estonia,Alemania,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2255.87295232
Estonia,China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2108.42316676
Estonia,Finlandia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2053.51517018
Estonia,No especificados ,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1711.14715672
Estonia,Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),714.03133928
Estonia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),500.31506234
Estonia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),6063.4747144
Estonia,Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),542.03745478
Estonia,Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),2798.53248309
Estonia,Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),1851.02804017
Estonia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),676.33282035
Estonia,Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),1460.2738133
Estonia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),37.36073195
Estonia,Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),2436.04709951
Estonia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),786.65009447
Estonia,Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),58.86194981
Estonia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),7201.81199996001
Estonia,Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),1094.21733343
Estonia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),5034.34533265
Estonia,Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),26.69877268
Estonia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),575.39353409
Estonia,Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),6583.39588259
Estonia,Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),3726.81488376
Estonia,Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),1835.31826558
Estonia,Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),7246.17309459
Estonia,Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),8911.56781589
Estonia,Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1045.38531216
Estonia,Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),5613.32602364
Estonia,Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),22303.23097107
Estonia,Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),24203.34893494
Estonia,Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),4894732.90217
Estonia,...,2021,...,Aranceles,N.o de acuerdos arancelarios,
Estonia,...,2021,...,Importación,Número de asociados importadores,195
Estonia,...,2021,...,Importación,Número de productos importados,4251
Estonia,...,2021,...,Exportación,Número de asociados exportadores,185
Estonia,...,2021,...,Exportación,Número de productos exportados,3685
Estonia,...,2019,...,Others,Ease of Doing Business Rank,18
Estonia,...,2019,...,Others,Trading Across Borders Rank,17
Estonia,...,2016,...,Others,LPI Score,3.363489
Estonia,...,2016,...,Others,LPI Rank,38
Estonia,...,2018,...,Others,Population,1320884
Estonia,Finlandia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,13.855
Estonia,Letonia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,9.675
Estonia,Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.9391
Estonia,Suecia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,8.846
Estonia,Federación de Rusia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,6.3934
Estonia,Federación de Rusia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,11.4582
Estonia,Alemania,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,9.3205
Estonia,China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.7113
Estonia,Finlandia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,8.4844
Estonia,No especificados ,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.0699
Estonia,Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),3.5271
Estonia,Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.2639
Estonia,Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),32.2904
Estonia,Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),4.9061
Estonia,Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),22.5723
Estonia,Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),0.1675
Estonia,Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),10.9224
Estonia,Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),2.4303
Estonia,Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),12.5477
Estonia,Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),8.2994
Estonia,Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),3.0324
Estonia,Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),6.5474
Estonia,Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),3.2015
Estonia,Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),2.2432
Estonia,Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),27.1865
Estonia,Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),16.7098
Estonia,Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),8.2289
Estonia,Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.1197
Estonia,Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),2.5799
Estonia,Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),29.5177
Estonia,Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),29.9387
Estonia,Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),36.8196
Estonia,Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),4.3192
Estonia,Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),23.1924
Estonia,Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),1.44678295967988
Estonia,Mundo,2021,Bienes de consumo,Aranceles,Promedio ponderado de aranceles (%),3.63375445674405
Estonia,Mundo,2021,Materias primas,Aranceles,Promedio ponderado de aranceles (%),3.44996990670709
Estonia,Mundo,2021,Bienes de capital,Aranceles,Promedio ponderado de aranceles (%),0.949683337337187
Estonia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento mundial (%),12.5883765814344
Estonia,Mundo,2021,Todos los productos,Trade Indicator,Crecimiento del país (%),13.5104081929041
Estonia,Mundo,2021,Todos los productos,Aranceles,Promedio simple de aranceles (%),2.55794964656642
Estonia,Mundo,2021,Todos los productos,Aranceles,Promedio ponderado de aranceles (%),2.00157622025531
Estonia,Mundo,2021,Todos los productos,Aranceles,Tasa máxima de aranceles (%),209.190093994141
Estonia,Mundo,2021,Todos los productos,Aranceles,Proporción de líneas arancelarias exentas de aranceles (%),57.1959594397846
Estonia,...,2021,...,Trade Indicator,Índice de penetración en el mercado de exportación,7.13478383724216
