País,asociados,Año,Grupos de Productos,Tema,Indicador,Indicador value
Etiopía (excluida Eritrea),Somalia,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,360.83772891
Etiopía (excluida Eritrea),Estados Unidos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,330.21480825
Etiopía (excluida Eritrea),Alemania,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,243.94271182
Etiopía (excluida Eritrea),Países Bajos,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,229.34682493
Etiopía (excluida Eritrea),Arabia Saudita,2021,Todos los productos,Exportación, Valor del comercio (en millones de US $)-PRINCIPALES CINCO EXPORTADORES,215.53822752
Etiopía (excluida Eritrea),China,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,4035.05660576
Etiopía (excluida Eritrea),India,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,2403.95031721
Etiopía (excluida Eritrea),Estados Unidos,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,1168.34705353
Etiopía (excluida Eritrea),Turquía,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,764.567265889999
Etiopía (excluida Eritrea),Malasia,2021,Todos los productos,Importación,Valor del comercio (en millones de US $)-PRINCIPALES CINCO IMPORTADORES,631.20408675
Etiopía (excluida Eritrea),Mundo,2021,Combustibles,Exportación,Exportaciones (en millones de US $),0.0021179
Etiopía (excluida Eritrea),Mundo,2021,Metales,Exportación,Exportaciones (en millones de US $),5.04941417
Etiopía (excluida Eritrea),Mundo,2021,Productos alimenticios,Exportación,Exportaciones (en millones de US $),27.4319265
Etiopía (excluida Eritrea),Mundo,2021,Calzado,Exportación,Exportaciones (en millones de US $),4.46171996
Etiopía (excluida Eritrea),Mundo,2021,Bienes de consumo,Exportación,Exportaciones (en millones de US $),488.25497379
Etiopía (excluida Eritrea),Mundo,2021,Productos químicos,Exportación,Exportaciones (en millones de US $),9.13379011
Etiopía (excluida Eritrea),Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones (en millones de US $),29.68746047
Etiopía (excluida Eritrea),Mundo,2021,Reino vegetal,Exportación,Exportaciones (en millones de US $),2591.40037957
Etiopía (excluida Eritrea),Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones (en millones de US $),175.603807
Etiopía (excluida Eritrea),Mundo,2021,Bienes intermedios,Exportación,Exportaciones (en millones de US $),296.64018164
Etiopía (excluida Eritrea),Mundo,2021,Minerales,Exportación,Exportaciones (en millones de US $),7.5056704
Etiopía (excluida Eritrea),Mundo,2021,Piedras y vidrio,Exportación,Exportaciones (en millones de US $),13.05107015
Etiopía (excluida Eritrea),Mundo,2021,Bienes de capital,Exportación,Exportaciones (en millones de US $),34.07593707
Etiopía (excluida Eritrea),Mundo,2021,Plástico o caucho,Exportación,Exportaciones (en millones de US $),8.26114412
Etiopía (excluida Eritrea),Mundo,2021,Transporte,Exportación,Exportaciones (en millones de US $),7.76244262
Etiopía (excluida Eritrea),Mundo,2021,Cueros y pieles,Exportación,Exportaciones (en millones de US $),37.64694807
Etiopía (excluida Eritrea),Mundo,2021,Varios,Exportación,Exportaciones (en millones de US $),3.92775675
Etiopía (excluida Eritrea),Mundo,2021,Reino animal,Exportación,Exportaciones (en millones de US $),131.05060588
Etiopía (excluida Eritrea),Mundo,2021,Madera,Exportación,Exportaciones (en millones de US $),5.65257292
Etiopía (excluida Eritrea),Mundo,2021,Materias primas,Exportación,Exportaciones (en millones de US $),2238.65773409
Etiopía (excluida Eritrea),Mundo,2021,Bienes intermedios,Importación,Importaciones (en millones de US $),4436.33364704001
Etiopía (excluida Eritrea),Mundo,2021,Bienes de consumo,Importación,Importaciones (en millones de US $),6186.15551052
Etiopía (excluida Eritrea),Mundo,2021,Bienes de capital,Importación,Importaciones (en millones de US $),3482.09770583
Etiopía (excluida Eritrea),Mundo,2021,Materias primas,Importación,Importaciones (en millones de US $),1176.48071341
Etiopía (excluida Eritrea),Mundo,2021,Todos los productos,Exportación,Exportaciones (en millones de US $),3057.62882659
Etiopía (excluida Eritrea),Mundo,2021,Todos los productos,Importación,Importaciones (en millones de US $),15284.93493346
Etiopía (excluida Eritrea),Mundo,2021,Todos los productos,Aranceles,Importaciones exentas de aranceles (en miles de US$),1380316.88549
Etiopía (excluida Eritrea),...,2021,...,Aranceles,N.o de acuerdos arancelarios,4
Etiopía (excluida Eritrea),...,2021,...,Importación,Número de asociados importadores,169
Etiopía (excluida Eritrea),...,2021,...,Importación,Número de productos importados,3745
Etiopía (excluida Eritrea),...,2021,...,Exportación,Número de asociados exportadores,142
Etiopía (excluida Eritrea),...,2021,...,Exportación,Número de productos exportados,1584
Etiopía (excluida Eritrea),...,2018,...,Others,Population,109224559
Etiopía (excluida Eritrea),...,2018,...,Others,CPIA Trade Ratings,3
Etiopía (excluida Eritrea),...,2016,...,Others,LPI Score,2.376767
Etiopía (excluida Eritrea),...,2019,...,Others,Ease of Doing Business Rank,159
Etiopía (excluida Eritrea),...,2015,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Etiopía (excluida Eritrea),...,2015,...,Others,No Of NTM Measures,55
Etiopía (excluida Eritrea),...,2009,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1238353
Etiopía (excluida Eritrea),...,2019,...,Others,Trading Across Borders Rank,156
Etiopía (excluida Eritrea),...,2009,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1235485
Etiopía (excluida Eritrea),...,2016,...,Others,LPI Rank,126
Etiopía (excluida Eritrea),...,,...,Others,Services Trade Restrictions Index - Over All,88.2
Etiopía (excluida Eritrea),Somalia,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,11.8012
Etiopía (excluida Eritrea),Estados Unidos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,10.7997
Etiopía (excluida Eritrea),Alemania,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.9782
Etiopía (excluida Eritrea),Países Bajos,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.5008
Etiopía (excluida Eritrea),Arabia Saudita,2021,Todos los productos,Exportación,Proporción de asociados (%) - PRINCIPALES CINCO EXPORTADORES,7.0492
Etiopía (excluida Eritrea),China,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,26.3989
Etiopía (excluida Eritrea),India,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,15.7276
Etiopía (excluida Eritrea),Estados Unidos,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,7.6438
Etiopía (excluida Eritrea),Turquía,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,5.0021
Etiopía (excluida Eritrea),Malasia,2021,Todos los productos,Importación,Proporción de asociados (%) - PRINCIPALES CINCO IMPORTADORES,4.1296
Etiopía (excluida Eritrea),Mundo,2021,Reino vegetal,Exportación,Exportaciones - Product share(en %),84.752
Etiopía (excluida Eritrea),Mundo,2021,Textiles y prendas de vestir,Exportación,Exportaciones - Product share(en %),5.7431
Etiopía (excluida Eritrea),Mundo,2021,Bienes intermedios,Exportación,Exportaciones - Product share(en %),9.7016
Etiopía (excluida Eritrea),Mundo,2021,Combustibles,Exportación,Exportaciones - Product share(en %),0.0001
Etiopía (excluida Eritrea),Mundo,2021,Metales,Exportación,Exportaciones - Product share(en %),0.1651
Etiopía (excluida Eritrea),Mundo,2021,Plástico o caucho,Exportación,Exportaciones - Product share(en %),0.2702
Etiopía (excluida Eritrea),Mundo,2021,Transporte,Exportación,Exportaciones - Product share(en %),0.2539
Etiopía (excluida Eritrea),Mundo,2021,Productos alimenticios,Exportación,Exportaciones - Product share(en %),0.8972
Etiopía (excluida Eritrea),Mundo,2021,Calzado,Exportación,Exportaciones - Product share(en %),0.1459
Etiopía (excluida Eritrea),Mundo,2021,Bienes de consumo,Exportación,Exportaciones - Product share(en %),15.9684
Etiopía (excluida Eritrea),Mundo,2021,Productos químicos,Exportación,Exportaciones - Product share(en %),0.2987
Etiopía (excluida Eritrea),Mundo,2021,Maquinaria y electricidad,Exportación,Exportaciones - Product share(en %),0.9709
Etiopía (excluida Eritrea),Mundo,2021,Minerales,Exportación,Exportaciones - Product share(en %),0.2455
Etiopía (excluida Eritrea),Mundo,2021,Piedras y vidrio,Exportación,Exportaciones - Product share(en %),0.4268
Etiopía (excluida Eritrea),Mundo,2021,Bienes de capital,Exportación,Exportaciones - Product share(en %),1.1145
Etiopía (excluida Eritrea),Mundo,2021,Reino animal,Exportación,Exportaciones - Product share(en %),4.286
Etiopía (excluida Eritrea),Mundo,2021,Madera,Exportación,Exportaciones - Product share(en %),0.1849
Etiopía (excluida Eritrea),Mundo,2021,Materias primas,Exportación,Exportaciones - Product share(en %),73.2155
Etiopía (excluida Eritrea),Mundo,2021,Cueros y pieles,Exportación,Exportaciones - Product share(en %),1.2312
Etiopía (excluida Eritrea),Mundo,2021,Varios,Exportación,Exportaciones - Product share(en %),0.1285
Etiopía (excluida Eritrea),Mundo,2021,Bienes intermedios,Importación,Importaciones - Product share(en %),29.0242
Etiopía (excluida Eritrea),Mundo,2021,Bienes de capital,Importación,Importaciones - Product share(en %),22.7812
Etiopía (excluida Eritrea),Mundo,2021,Bienes de consumo,Importación,Importaciones - Product share(en %),40.4722
Etiopía (excluida Eritrea),Mundo,2021,Materias primas,Importación,Importaciones - Product share(en %),7.697
Etiopía (excluida Eritrea),Mundo,2021,Bienes intermedios,Aranceles,Promedio ponderado de aranceles (%),10.3080256339382
